variable	num_unique_corrs	type	LB_seagrass	Tektite	Yawzi	taxonomy
ASV_00046	7	asv_id	6	2	0	ASV_00046: Gammaproteobacteria; SAR86 clade
ASV_00060	7	asv_id	6	0	2	ASV_00060: Alphaproteobacteria; Litorimicrobium
ASV_00063	7	asv_id	7	0	0	ASV_00063: Gammaproteobacteria; SAR86 clade
ASV_00069	7	asv_id	7	0	2	ASV_00069: Bacteroidia; Cryomorphaceae
ASV_00077	7	asv_id	7	1	0	ASV_00077: Alphaproteobacteria; SAR116 clade
ASV_00084	7	asv_id	7	0	0	ASV_00084: Bacteroidia; Marinoscillum
ASV_00093	7	asv_id	6	1	0	ASV_00093: Alphaproteobacteria; Defluviicoccales
ASV_00099	7	asv_id	6	1	0	ASV_00099: Cyanobacteria; Synechococcus CC9902
ASV_00108	7	asv_id	2	1	4	ASV_00108: Gammaproteobacteria; Pseudomonas
ASV_00112	7	asv_id	7	0	0	ASV_00112: Bacteroidia; Cryomorphaceae
ASV_00113	7	asv_id	4	3	1	ASV_00113: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00159	7	asv_id	4	5	0	ASV_00159: Gammaproteobacteria; SAR86 clade
ASV_00185	7	asv_id	5	2	0	ASV_00185: Verrucomicrobiae; MB11C04 marine group
ASV_00210	7	asv_id	6	2	0	ASV_00210: Alphaproteobacteria; SAR116 clade
ASV_00225	7	asv_id	4	1	2	ASV_00225: Bacteroidia; NS5 marine group
ASV_00229	7	asv_id	4	0	3	ASV_00229: Bacteroidia; Cyclobacteriaceae
ASV_00248	7	asv_id	2	3	2	ASV_00248: Gammaproteobacteria; Pseudomonas
ASV_00355	7	asv_id	2	2	3	ASV_00355: Gammaproteobacteria; Vibrionaceae
ASV_00440	7	asv_id	7	0	0	ASV_00440: Bacteroidia; Saprospiraceae
ASV_00562	7	asv_id	7	0	0	ASV_00562: Bacteroidia; Macellibacteroides
ASV_00649	7	asv_id	0	7	0	ASV_00649: Gammaproteobacteria; SAR86 clade
ASV_00821	7	asv_id	0	2	5	ASV_00821: Thermoplasmata; Marine Group II
ASV_00869	7	asv_id	0	0	7	ASV_00869: Gammaproteobacteria; Coxiella
ASV_00008	6	asv_id	6	0	0	ASV_00008: Gammaproteobacteria; SAR86 clade
ASV_00039	6	asv_id	2	0	4	ASV_00039: Alphaproteobacteria; Rhodobacteraceae
ASV_00049	6	asv_id	5	2	0	ASV_00049: Gammaproteobacteria; SAR86 clade
ASV_00070	6	asv_id	6	0	0	ASV_00070: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00103	6	asv_id	5	0	1	ASV_00103: Alphaproteobacteria; PS1 clade
ASV_00107	6	asv_id	5	1	2	ASV_00107: Bacteroidia; NS5 marine group
ASV_00131	6	asv_id	5	2	0	ASV_00131: Alphaproteobacteria; Thalassobius
ASV_00147	6	asv_id	4	2	1	ASV_00147: Gammaproteobacteria; Vibrio
ASV_00181	6	asv_id	0	5	1	ASV_00181: Gammaproteobacteria; Pseudomonas
ASV_00216	6	asv_id	4	1	1	ASV_00216: Gammaproteobacteria; SAR86 clade
ASV_00243	6	asv_id	6	1	0	ASV_00243: Bacteroidia; Winogradskyella
ASV_00252	6	asv_id	6	0	0	ASV_00252: Bacteroidia; Flavobacteriaceae
ASV_00283	6	asv_id	6	0	0	ASV_00283: Gammaproteobacteria; Photobacterium
ASV_00300	6	asv_id	6	0	0	ASV_00300: Actinobacteria; Candidatus Aquiluna
ASV_00323	6	asv_id	2	3	2	ASV_00323: Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_00357	6	asv_id	6	0	0	ASV_00357: Alphaproteobacteria; Rhodobacteraceae
ASV_00430	6	asv_id	3	0	3	ASV_00430: Planctomycetota; OM190
ASV_00451	6	asv_id	6	0	0	ASV_00451: Bdellovibrionia; Bacteriovoracaceae
ASV_00462	6	asv_id	5	1	0	ASV_00462: Bdellovibrionia; OM27 clade
ASV_00474	6	asv_id	6	0	0	ASV_00474: Actinobacteria; Microbacteriaceae
ASV_00507	6	asv_id	5	2	0	ASV_00507: Dadabacteria; Dadabacteriales
ASV_00568	6	asv_id	6	0	0	ASV_00568: Bacteroidia; Bacteroidales
ASV_00570	6	asv_id	5	0	1	ASV_00570: Alphaproteobacteria; Ponticaulis
ASV_00590	6	asv_id	0	0	6	ASV_00590: Alphaproteobacteria; Maricaulis
ASV_01107	6	asv_id	6	0	0	ASV_01107: Bacteroidia; Muribaculaceae
ASV_02764	6	asv_id	6	0	0	ASV_02764: Gammaproteobacteria; Thiotrichaceae
ASV_01622	6	asv_id	0	0	6	ASV_01622: Gammaproteobacteria; Thaumasiovibrio
ASV_00009	5	asv_id	4	0	2	ASV_00009: Bacteroidia; Flavobacteriaceae
ASV_00012	5	asv_id	4	2	0	ASV_00012: Alphaproteobacteria; SAR11 Clade II
ASV_00023	5	asv_id	4	2	1	ASV_00023: Alphaproteobacteria; SAR11 Clade Ib
ASV_00025	5	asv_id	4	2	0	ASV_00025: Bacteroidia; NS5 marine group
ASV_00027	5	asv_id	4	1	1	ASV_00027: Bacteroidia; NS5 marine group
ASV_00037	5	asv_id	1	3	1	ASV_00037: Alphaproteobacteria; SAR11 Clade II
ASV_00043	5	asv_id	5	1	1	ASV_00043: Bacteroidia; NS5 marine group
ASV_00055	5	asv_id	4	2	1	ASV_00055: Gammaproteobacteria; SAR86 clade
ASV_00058	5	asv_id	5	1	0	ASV_00058: Acidimicrobia; Sva0996 marine group
ASV_00066	5	asv_id	4	0	1	ASV_00066: Cyanobacteria; Cyanobium PCC-6307
ASV_00072	5	asv_id	2	3	2	ASV_00072: Alphaproteobacteria; SAR11 Clade IV
ASV_00098	5	asv_id	5	0	0	ASV_00098: Thermoplasmata; Marine Group II
ASV_00101	5	asv_id	3	1	2	ASV_00101: Bacteroidia; NS5 marine group
ASV_00111	5	asv_id	4	0	1	ASV_00111: Gammaproteobacteria; Pseudomonadales
ASV_00124	5	asv_id	2	1	3	ASV_00124: Bacteroidia; NS11-12 marine group
ASV_00154	5	asv_id	4	1	0	ASV_00154: Bacteroidia; NS5 marine group
ASV_00178	5	asv_id	3	0	2	ASV_00178: Gammaproteobacteria; SAR86 clade
ASV_00199	5	asv_id	4	3	1	ASV_00199: Bacteroidia; NS9 marine group
ASV_00200	5	asv_id	5	0	0	ASV_00200: Alphaproteobacteria; Rhodobacteraceae
ASV_00221	5	asv_id	5	0	0	ASV_00221: Alphaproteobacteria; Rhodobacteraceae
ASV_00235	5	asv_id	3	3	0	ASV_00235: Gammaproteobacteria; SAR86 clade
ASV_00251	5	asv_id	5	0	0	ASV_00251: Gammaproteobacteria; Alteromonadaceae
ASV_00280	5	asv_id	0	4	2	ASV_00280: Gammaproteobacteria; SAR86 clade
ASV_00348	5	asv_id	5	0	0	ASV_00348: Alphaproteobacteria; Aestuariicoccus
ASV_00641	5	asv_id	5	0	0	ASV_00641: Proteobacteria; Gammaproteobacteria
ASV_00759	5	asv_id	2	3	0	ASV_00759: Proteobacteria; Gammaproteobacteria
ASV_00781	5	asv_id	5	0	0	ASV_00781: Bacteroidia; Paludibacter
ASV_02289	5	asv_id	5	0	0	ASV_02289: Verrucomicrobiae; Chthoniobacteraceae
ASV_00022	4	asv_id	4	0	0	ASV_00022: Cyanobacteria; Synechococcus CC9902
ASV_00029	4	asv_id	4	1	0	ASV_00029: Alphaproteobacteria; SAR116 clade
ASV_00032	4	asv_id	3	1	2	ASV_00032: Bacteroidia; NS5 marine group
ASV_00048	4	asv_id	4	1	1	ASV_00048: Bacteroidia; NS5 marine group
ASV_00083	4	asv_id	1	2	1	ASV_00083: Alphaproteobacteria; SAR11 Clade Ib
ASV_00085	4	asv_id	1	3	2	ASV_00085: Alphaproteobacteria; SAR11 Clade Ib
ASV_00087	4	asv_id	2	2	0	ASV_00087: Alphaproteobacteria; Stappiaceae
ASV_00096	4	asv_id	4	0	0	ASV_00096: Gammaproteobacteria; KI89A clade
ASV_00097	4	asv_id	4	0	0	ASV_00097: Bacteroidia; Tenacibaculum
ASV_00102	4	asv_id	4	0	0	ASV_00102: Alphaproteobacteria; SAR11 Clade Ia
ASV_00104	4	asv_id	0	4	1	ASV_00104: Bacteroidia; NS9 marine group
ASV_00105	4	asv_id	4	0	0	ASV_00105: Gammaproteobacteria; Marinobacterium
ASV_00115	4	asv_id	3	0	1	ASV_00115: Cyanobacteria; Synechococcus CC9902
ASV_00123	4	asv_id	0	4	1	ASV_00123: Gammaproteobacteria; SAR86 clade
ASV_00136	4	asv_id	1	1	2	ASV_00136: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00138	4	asv_id	0	2	2	ASV_00138: Gammaproteobacteria; BD1-7 clade
ASV_00145	4	asv_id	2	0	2	ASV_00145: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00151	4	asv_id	4	0	0	ASV_00151: Cyanobacteria; Cyanobium PCC-6307
ASV_00161	4	asv_id	3	1	0	ASV_00161: Alphaproteobacteria; S25-593
ASV_00177	4	asv_id	1	0	3	ASV_00177: Gammaproteobacteria; Pseudoalteromonas
ASV_00226	4	asv_id	2	1	1	ASV_00226: Gammaproteobacteria; SAR92 clade
ASV_00228	4	asv_id	3	0	1	ASV_00228: Bacteroidia; NS2b marine group
ASV_00233	4	asv_id	3	1	0	ASV_00233: Alphaproteobacteria; SAR116 clade
ASV_00271	4	asv_id	2	1	1	ASV_00271: Gammaproteobacteria; Luminiphilus
ASV_00294	4	asv_id	0	3	1	ASV_00294: Rhodothermia; Balneola
ASV_00337	4	asv_id	2	1	1	ASV_00337: Desulfuromonadia; Bradymonadales
ASV_00338	4	asv_id	3	0	1	ASV_00338: Verrucomicrobiae; MB11C04 marine group
ASV_00339	4	asv_id	4	0	0	ASV_00339: Gammaproteobacteria; Aestuariibacter
ASV_00353	4	asv_id	3	2	0	ASV_00353: Gammaproteobacteria; SAR86 clade
ASV_00354	4	asv_id	0	3	1	ASV_00354: Alphaproteobacteria; Parvibaculaceae
ASV_00445	4	asv_id	4	0	0	ASV_00445: Cyanobacteria; Oscillatoriaceae
ASV_00460	4	asv_id	0	3	2	ASV_00460: Verrucomicrobiae; Lentimonas
ASV_00527	4	asv_id	4	0	0	ASV_00527: Alphaproteobacteria; Leisingera
ASV_00537	4	asv_id	4	0	0	ASV_00537: Bacteroidia; Formosa
ASV_00554	4	asv_id	4	0	0	ASV_00554: Alphaproteobacteria; Rhodobacteraceae
ASV_00600	4	asv_id	4	0	0	ASV_00600: Bacteroidia; Bacteroidales
ASV_00608	4	asv_id	4	0	0	ASV_00608: Bacteroidia; Prevotellaceae UCG-004
ASV_00626	4	asv_id	4	0	0	ASV_00626: Gammaproteobacteria; Methylophaga
ASV_00640	4	asv_id	4	0	0	ASV_00640: Phycisphaerae; Phycisphaera
ASV_00722	4	asv_id	4	0	0	ASV_00722: Actinobacteria; ML602J-51
ASV_00783	4	asv_id	4	0	0	ASV_00783: Bacteroidia; Muribaculaceae
ASV_00787	4	asv_id	4	0	0	ASV_00787: Bacteroidia; NS9 marine group
ASV_00801	4	asv_id	4	0	0	ASV_00801: Bacteroidia; Nonlabens
ASV_00882	4	asv_id	4	0	0	ASV_00882: Gammaproteobacteria; Halieaceae
ASV_01203	4	asv_id	4	0	0	ASV_01203: Bacteroidia; Ekhidna
ASV_01321	4	asv_id	4	0	0	ASV_01321: Gammaproteobacteria; Coxiella
ASV_00551	4	asv_id	0	4	0	ASV_00551: Alphaproteobacteria; Candidatus Puniceispirillum
ASV_00825	4	asv_id	0	0	4	ASV_00825: Bacteroidia; NS5 marine group
ASV_00003	3	asv_id	1	1	2	ASV_00003: Alphaproteobacteria; HIMB11
ASV_00010	3	asv_id	2	2	1	ASV_00010: Alphaproteobacteria; SAR11 Clade Ia
ASV_00017	3	asv_id	3	0	0	ASV_00017: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00045	3	asv_id	1	2	1	ASV_00045: Bacteroidia; NS7 marine group
ASV_00047	3	asv_id	2	1	0	ASV_00047: Bacteroidia; NS4 marine group
ASV_00059	3	asv_id	0	2	1	ASV_00059: Alphaproteobacteria; Ascidiaceihabitans
ASV_00068	3	asv_id	2	0	1	ASV_00068: Alphaproteobacteria; SAR11 Clade Ia
ASV_00074	3	asv_id	1	2	0	ASV_00074: Bacteroidia; Cryomorphaceae
ASV_00094	3	asv_id	1	2	0	ASV_00094: Cyanobacteria; Cyanobiaceae
ASV_00100	3	asv_id	3	0	1	ASV_00100: Acidimicrobia; Candidatus Actinomarina
ASV_00110	3	asv_id	3	0	0	ASV_00110: Alphaproteobacteria; SAR11 Clade II
ASV_00114	3	asv_id	2	0	1	ASV_00114: Alphaproteobacteria; Rhodobacteraceae
ASV_00126	3	asv_id	0	2	2	ASV_00126: Gammaproteobacteria; SAR86 clade
ASV_00128	3	asv_id	0	2	2	ASV_00128: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00129	3	asv_id	2	2	1	ASV_00129: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00163	3	asv_id	1	0	2	ASV_00163: Alphaproteobacteria; SAR11 Clade II
ASV_00167	3	asv_id	0	3	0	ASV_00167: Alphaproteobacteria; S25-593
ASV_00175	3	asv_id	2	0	1	ASV_00175: Alphaproteobacteria; SAR116 clade
ASV_00191	3	asv_id	2	0	1	ASV_00191: Proteobacteria; Alphaproteobacteria
ASV_00195	3	asv_id	0	2	1	ASV_00195: Bacteroidia; NS5 marine group
ASV_00202	3	asv_id	3	0	0	ASV_00202: Bacteroidia; NS4 marine group
ASV_00208	3	asv_id	0	3	0	ASV_00208: Alphaproteobacteria; SAR116 clade
ASV_00215	3	asv_id	2	2	0	ASV_00215: Bacteroidia; Saprospiraceae
ASV_00232	3	asv_id	1	2	0	ASV_00232: Alphaproteobacteria; Stappiaceae
ASV_00246	3	asv_id	1	2	0	ASV_00246: Bacteroidia; NS11-12 marine group
ASV_00258	3	asv_id	0	2	1	ASV_00258: Alphaproteobacteria; SAR11 Clade II
ASV_00264	3	asv_id	2	2	0	ASV_00264: Alphaproteobacteria; Erythrobacter
ASV_00274	3	asv_id	3	0	0	ASV_00274: Gammaproteobacteria; Pseudomonadales
ASV_00282	3	asv_id	3	0	0	ASV_00282: Desulfobulbia; Desulfocapsaceae
ASV_00308	3	asv_id	3	0	0	ASV_00308: Gammaproteobacteria; OM60(NOR5) clade
ASV_00320	3	asv_id	3	0	0	ASV_00320: Bacteroidia; NS7 marine group
ASV_00341	3	asv_id	3	0	0	ASV_00341: Bacteroidia; Bacteroides
ASV_00349	3	asv_id	1	0	2	ASV_00349: Fusobacteria; Propionigenium
ASV_00359	3	asv_id	2	1	0	ASV_00359: Myxococcia; P3OB-42
ASV_00361	3	asv_id	1	1	1	ASV_00361: Proteobacteria; Gammaproteobacteria
ASV_00366	3	asv_id	0	3	0	ASV_00366: Alphaproteobacteria; SAR11 Clade II
ASV_00369	3	asv_id	3	0	0	ASV_00369: Bacteroidia; Flavobacteriaceae
ASV_00386	3	asv_id	1	0	2	ASV_00386: Bdellovibrionia; OM27 clade
ASV_00398	3	asv_id	3	0	0	ASV_00398: Alphaproteobacteria; Stappiaceae
ASV_00444	3	asv_id	3	0	0	ASV_00444: Gammaproteobacteria; Thiomicrorhabdus
ASV_00492	3	asv_id	0	2	1	ASV_00492: Alphaproteobacteria; Thalassobaculales
ASV_00528	3	asv_id	2	0	1	ASV_00528: Bacteroidia; Lewinella
ASV_00530	3	asv_id	3	0	0	ASV_00530: Bacteroidia; Roseimarinus
ASV_00543	3	asv_id	2	1	0	ASV_00543: Bacteroidia; Saprospiraceae
ASV_00571	3	asv_id	3	0	0	ASV_00571: Alphaproteobacteria; Rhodobacteraceae
ASV_00609	3	asv_id	3	0	0	ASV_00609: Bacteroidia; Actibacter
ASV_00644	3	asv_id	3	0	0	ASV_00644: Alphaproteobacteria; Hirschia
ASV_00664	3	asv_id	1	1	1	ASV_00664: Bdellovibrionia; OM27 clade
ASV_00691	3	asv_id	0	3	0	ASV_00691: Bacteria
ASV_00713	3	asv_id	3	0	0	ASV_00713: Proteobacteria; Gammaproteobacteria
ASV_01113	3	asv_id	0	1	2	ASV_01113: Alphaproteobacteria; S25-593
ASV_01571	3	asv_id	3	0	0	ASV_01571: Thermoanaerobaculia; Subgroup 10
ASV_01584	3	asv_id	0	3	0	ASV_01584: Alphaproteobacteria; SM2D12
ASV_02436	3	asv_id	2	0	1	ASV_02436: Alphaproteobacteria; Rickettsiales
ASV_02678	3	asv_id	3	0	0	ASV_02678: Clostridia; Hungateiclostridiaceae
ASV_03116	3	asv_id	3	0	0	ASV_03116: Bacteroidia; Algoriphagus
ASV_00241	3	asv_id	0	3	1	ASV_00241: Alphaproteobacteria; SAR11 Clade II
ASV_00290	3	asv_id	0	2	1	ASV_00290: Planctomycetota; OM190
ASV_00344	3	asv_id	0	0	3	ASV_00344: Alphaproteobacteria; SAR11 Clade II
ASV_00381	3	asv_id	0	2	1	ASV_00381: Alphaproteobacteria; SAR11 Clade II
ASV_00406	3	asv_id	0	0	3	ASV_00406: Alphaproteobacteria; SAR11 Clade II
ASV_00435	3	asv_id	0	1	2	ASV_00435: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00575	3	asv_id	0	2	2	ASV_00575: Bacteroidia; Bacteroidales
ASV_00822	3	asv_id	0	0	3	ASV_00822: Bacteroidia; Roseimarinus
ASV_00852	3	asv_id	0	2	1	ASV_00852: Acidimicrobia; Sva0996 marine group
ASV_01293	3	asv_id	0	1	2	ASV_01293: Bacteria; Margulisbacteria
ASV_01123	3	asv_id	0	0	3	ASV_01123: Bacteria
ASV_00001	2	asv_id	2	0	0	ASV_00001: Cyanobacteria; Synechococcus CC9902
ASV_00005	2	asv_id	2	1	0	ASV_00005: Alphaproteobacteria; SAR11 Clade Ia
ASV_00006	2	asv_id	1	0	1	ASV_00006: Bacteroidia; Cryomorphaceae
ASV_00034	2	asv_id	2	0	0	ASV_00034: Cyanobacteria; Synechococcus CC9902
ASV_00052	2	asv_id	2	0	0	ASV_00052: Alphaproteobacteria; SAR116 clade
ASV_00071	2	asv_id	0	2	0	ASV_00071: Bacteroidia; NS9 marine group
ASV_00073	2	asv_id	2	0	0	ASV_00073: Bacteroidia; NS4 marine group
ASV_00092	2	asv_id	0	1	1	ASV_00092: Gammaproteobacteria; Acinetobacter
ASV_00142	2	asv_id	0	2	0	ASV_00142: Gammaproteobacteria; Pseudomonas
ASV_00143	2	asv_id	2	0	0	ASV_00143: Bacteroidia; NS4 marine group
ASV_00153	2	asv_id	2	0	0	ASV_00153: Gammaproteobacteria; Pseudohongiella
ASV_00155	2	asv_id	2	0	0	ASV_00155: Bacteria; SAR324 clade(Marine group B)
ASV_00165	2	asv_id	1	1	0	ASV_00165: Bacteroidia; NS4 marine group
ASV_00173	2	asv_id	2	0	0	ASV_00173: Cyanobacteria; Synechococcus CC9902
ASV_00180	2	asv_id	0	0	2	ASV_00180: Gammaproteobacteria; SAR86 clade
ASV_00182	2	asv_id	2	0	0	ASV_00182: Bacteroidia; NS9 marine group
ASV_00187	2	asv_id	2	0	0	ASV_00187: Bacteroidia; Cryomorphaceae
ASV_00190	2	asv_id	0	2	0	ASV_00190: Bacteroidia; Cryomorphaceae
ASV_00192	2	asv_id	2	0	0	ASV_00192: Bacteroidia; NS9 marine group
ASV_00201	2	asv_id	2	0	0	ASV_00201: Alphaproteobacteria; SAR116 clade
ASV_00206	2	asv_id	0	1	1	ASV_00206: Gammaproteobacteria; SAR86 clade
ASV_00209	2	asv_id	0	2	0	ASV_00209: Kiritimatiellae; R76-B128
ASV_00211	2	asv_id	1	1	0	ASV_00211: Bacteroidia; NS4 marine group
ASV_00222	2	asv_id	2	0	0	ASV_00222: Bacteroidia; Saprospiraceae
ASV_00223	2	asv_id	0	2	0	ASV_00223: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00231	2	asv_id	1	2	0	ASV_00231: Gammaproteobacteria; Delftia
ASV_00239	2	asv_id	1	1	0	ASV_00239: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00240	2	asv_id	1	0	1	ASV_00240: Bdellovibrionia; OM27 clade
ASV_00259	2	asv_id	0	1	1	ASV_00259: Alphaproteobacteria; Defluviicoccales
ASV_00260	2	asv_id	2	0	0	ASV_00260: Bacteroidia; Flavobacteriales
ASV_00261	2	asv_id	1	1	0	ASV_00261: Bacteroidia; NS4 marine group
ASV_00278	2	asv_id	2	0	0	ASV_00278: Alphaproteobacteria; SAR11 Clade Ia
ASV_00279	2	asv_id	0	0	2	ASV_00279: Bacteroidia; NS5 marine group
ASV_00291	2	asv_id	0	2	0	ASV_00291: Alphaproteobacteria; SAR11 Clade II
ASV_00292	2	asv_id	0	0	2	ASV_00292: Thermoplasmata; Marine Group II
ASV_00302	2	asv_id	0	2	0	ASV_00302: Alphaproteobacteria; SAR11 Clade III
ASV_00304	2	asv_id	1	1	0	ASV_00304: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00316	2	asv_id	2	0	0	ASV_00316: Bacteroidia; Flavobacteriaceae
ASV_00321	2	asv_id	2	0	0	ASV_00321: Bacteroidia; Aureicoccus
ASV_00345	2	asv_id	0	0	2	ASV_00345: Bacteroidia; NS4 marine group
ASV_00356	2	asv_id	1	0	1	ASV_00356: Alphaproteobacteria; SAR11 Clade III
ASV_00374	2	asv_id	0	0	2	ASV_00374: Gammaproteobacteria; Alcanivorax
ASV_00389	2	asv_id	2	0	0	ASV_00389: Alphaproteobacteria; Holosporaceae
ASV_00390	2	asv_id	0	0	2	ASV_00390: Alphaproteobacteria; PS1 clade
ASV_00400	2	asv_id	2	0	0	ASV_00400: Gammaproteobacteria; Thiomicrorhabdus
ASV_00442	2	asv_id	0	2	0	ASV_00442: Bacteroidia; Saprospiraceae
ASV_00464	2	asv_id	0	2	0	ASV_00464: Bacteroidia; Leeuwenhoekiella
ASV_00465	2	asv_id	1	1	0	ASV_00465: Bdellovibrionia; OM27 clade
ASV_00482	2	asv_id	1	1	0	ASV_00482: Desulfuromonadia; Bradymonadales
ASV_00484	2	asv_id	2	0	0	ASV_00484: Verrucomicrobiae; Rubritalea
ASV_00487	2	asv_id	2	0	0	ASV_00487: Bdellovibrionia; OM27 clade
ASV_00495	2	asv_id	2	0	0	ASV_00495: Bacteroidia; Crocinitomix
ASV_00501	2	asv_id	1	0	2	ASV_00501: Proteobacteria; Alphaproteobacteria
ASV_00503	2	asv_id	0	0	2	ASV_00503: Gammaproteobacteria; Vibrio
ASV_00512	2	asv_id	2	0	0	ASV_00512: Bacteroidia; Crocinitomix
ASV_00526	2	asv_id	2	0	0	ASV_00526: Bacteroidia; Cyclobacteriaceae
ASV_00560	2	asv_id	2	0	0	ASV_00560: Proteobacteria; Alphaproteobacteria
ASV_00567	2	asv_id	2	0	0	ASV_00567: Bacteroidia; Chitinophagales
ASV_00634	2	asv_id	1	0	1	ASV_00634: Gammaproteobacteria; Cellvibrionaceae
ASV_00648	2	asv_id	2	0	0	ASV_00648: Bacteroidia; Flavobacteriaceae
ASV_00665	2	asv_id	0	1	1	ASV_00665: Oligoflexia; Pseudobacteriovorax
ASV_00711	2	asv_id	2	0	0	ASV_00711: Bacteroidia; Crocinitomix
ASV_00735	2	asv_id	1	0	1	ASV_00735: Gammaproteobacteria; Coxiella
ASV_00776	2	asv_id	0	1	1	ASV_00776: Phycisphaerae; SM1A02
ASV_00838	2	asv_id	2	0	0	ASV_00838: Clostridia; Sarcina
ASV_00955	2	asv_id	2	0	0	ASV_00955: Gammaproteobacteria; Kistimonas
ASV_00975	2	asv_id	2	0	0	ASV_00975: Alphaproteobacteria; Rhizobiaceae
