Label,Id,omics_type,taxonomy
ASV_00013,1,ASV,ASV_00013: Acidimicrobia; Candidatus Actinomarina
ASV_00001,46,ASV,ASV_00001: Cyanobacteria; Synechococcus CC9902
ASV_00022,47,ASV,ASV_00022: Cyanobacteria; Synechococcus CC9902
ASV_00030,48,ASV,ASV_00030: Cyanobacteria; Synechococcus CC9902
ASV_00121,49,ASV,ASV_00121: Cyanobacteria; Synechococcus CC9902
ASV_00507,50,ASV,ASV_00507: Dadabacteria; Dadabacteriales
ASV_00770,51,ASV,ASV_00770: Bacteria; Margulisbacteria
ASV_00912,52,ASV,ASV_00912: Bacteria; Margulisbacteria
ASV_00031,53,ASV,ASV_00031: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00070,54,ASV,ASV_00070: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00145,55,ASV,ASV_00145: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00421,56,ASV,ASV_00421: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00431,57,ASV,ASV_00431: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00632,58,ASV,ASV_00632: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00359,59,ASV,ASV_00359: Myxococcia; P3OB-42
ASV_00932,60,ASV,ASV_00932: Bacteria; NB1-j
ASV_00319,61,ASV,ASV_00319: Planctomycetota; OM190
ASV_00430,62,ASV,ASV_00430: Planctomycetota; OM190
ASV_00640,63,ASV,ASV_00640: Phycisphaerae; Phycisphaera
ASV_00776,64,ASV,ASV_00776: Phycisphaerae; SM1A02
ASV_00117,65,ASV,ASV_00117: Alphaproteobacteria; PS1 clade
ASV_00120,66,ASV,ASV_00120: Alphaproteobacteria; PS1 clade
ASV_00354,67,ASV,ASV_00354: Alphaproteobacteria; Parvibaculaceae
ASV_00551,68,ASV,ASV_00551: Alphaproteobacteria; Candidatus Puniceispirillum
ASV_00029,69,ASV,ASV_00029: Alphaproteobacteria; SAR116 clade
ASV_00088,70,ASV,ASV_00088: Alphaproteobacteria; SAR116 clade
ASV_00175,71,ASV,ASV_00175: Alphaproteobacteria; SAR116 clade
ASV_00208,72,ASV,ASV_00208: Alphaproteobacteria; SAR116 clade
ASV_00210,73,ASV,ASV_00210: Alphaproteobacteria; SAR116 clade
ASV_00233,74,ASV,ASV_00233: Alphaproteobacteria; SAR116 clade
ASV_00394,75,ASV,ASV_00394: Alphaproteobacteria; SAR116 clade
ASV_00763,76,ASV,ASV_00763: Alphaproteobacteria; SAR116 clade
ASV_00064,77,ASV,ASV_00064: Alphaproteobacteria; Stappiaceae
ASV_00087,78,ASV,ASV_00087: Alphaproteobacteria; Stappiaceae
ASV_00059,79,ASV,ASV_00059: Alphaproteobacteria; Ascidiaceihabitans
ASV_00003,80,ASV,ASV_00003: Alphaproteobacteria; HIMB11
ASV_00131,81,ASV,ASV_00131: Alphaproteobacteria; Thalassobius
ASV_00021,82,ASV,ASV_00021: Alphaproteobacteria; Rhodobacteraceae
ASV_00024,83,ASV,ASV_00024: Alphaproteobacteria; Rhodobacteraceae
ASV_00114,84,ASV,ASV_00114: Alphaproteobacteria; Rhodobacteraceae
ASV_00017,85,ASV,ASV_00017: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00026,86,ASV,ASV_00026: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00113,87,ASV,ASV_00113: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00128,88,ASV,ASV_00128: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00172,89,ASV,ASV_00172: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00457,90,ASV,ASV_00457: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00133,91,ASV,ASV_00133: Alphaproteobacteria; S25-593
ASV_00167,92,ASV,ASV_00167: Alphaproteobacteria; S25-593
ASV_00272,93,ASV,ASV_00272: Alphaproteobacteria; S25-593
ASV_00336,94,ASV,ASV_00336: Alphaproteobacteria; S25-593
ASV_01033,95,ASV,ASV_01033: Alphaproteobacteria; S25-593
ASV_01584,96,ASV,ASV_01584: Alphaproteobacteria; SM2D12
ASV_00002,97,ASV,ASV_00002: Alphaproteobacteria; SAR11 Clade Ia
ASV_00005,98,ASV,ASV_00005: Alphaproteobacteria; SAR11 Clade Ia
ASV_00010,99,ASV,ASV_00010: Alphaproteobacteria; SAR11 Clade Ia
ASV_00067,100,ASV,ASV_00067: Alphaproteobacteria; SAR11 Clade Ia
ASV_00278,101,ASV,ASV_00278: Alphaproteobacteria; SAR11 Clade Ia
ASV_00281,102,ASV,ASV_00281: Alphaproteobacteria; SAR11 Clade Ia
ASV_00343,103,ASV,ASV_00343: Alphaproteobacteria; SAR11 Clade Ia
ASV_00023,104,ASV,ASV_00023: Alphaproteobacteria; SAR11 Clade Ib
ASV_00035,105,ASV,ASV_00035: Alphaproteobacteria; SAR11 Clade Ib
ASV_00083,106,ASV,ASV_00083: Alphaproteobacteria; SAR11 Clade Ib
ASV_00085,107,ASV,ASV_00085: Alphaproteobacteria; SAR11 Clade Ib
ASV_00012,108,ASV,ASV_00012: Alphaproteobacteria; SAR11 Clade II
ASV_00037,109,ASV,ASV_00037: Alphaproteobacteria; SAR11 Clade II
ASV_00110,110,ASV,ASV_00110: Alphaproteobacteria; SAR11 Clade II
ASV_00163,111,ASV,ASV_00163: Alphaproteobacteria; SAR11 Clade II
ASV_00253,112,ASV,ASV_00253: Alphaproteobacteria; SAR11 Clade II
ASV_00291,113,ASV,ASV_00291: Alphaproteobacteria; SAR11 Clade II
ASV_00344,114,ASV,ASV_00344: Alphaproteobacteria; SAR11 Clade II
ASV_00366,115,ASV,ASV_00366: Alphaproteobacteria; SAR11 Clade II
ASV_00381,116,ASV,ASV_00381: Alphaproteobacteria; SAR11 Clade II
ASV_00413,117,ASV,ASV_00413: Alphaproteobacteria; SAR11 Clade II
ASV_00694,118,ASV,ASV_00694: Alphaproteobacteria; SAR11 Clade II
ASV_00302,119,ASV,ASV_00302: Alphaproteobacteria; SAR11 Clade III
ASV_00356,120,ASV,ASV_00356: Alphaproteobacteria; SAR11 Clade III
ASV_00298,121,ASV,ASV_00298: Alphaproteobacteria; SAR11 Clade IV
ASV_00264,122,ASV,ASV_00264: Alphaproteobacteria; Erythrobacter
ASV_00491,123,ASV,ASV_00491: Alphaproteobacteria; OM75 clade
ASV_00501,124,ASV,ASV_00501: Proteobacteria; Alphaproteobacteria
ASV_00256,125,ASV,ASV_00256: Gammaproteobacteria; Aquabacterium
ASV_00146,126,ASV,ASV_00146: Gammaproteobacteria; MWH-UniP1 aquatic group
ASV_00605,127,ASV,ASV_00605: Gammaproteobacteria; mle1-7
ASV_00217,128,ASV,ASV_00217: Gammaproteobacteria; Coxiella
ASV_00448,129,ASV,ASV_00448: Gammaproteobacteria; Coxiella
ASV_00470,130,ASV,ASV_00470: Gammaproteobacteria; Coxiella
ASV_00592,131,ASV,ASV_00592: Gammaproteobacteria; Coxiella
ASV_00599,132,ASV,ASV_00599: Gammaproteobacteria; Coxiella
ASV_00756,133,ASV,ASV_00756: Gammaproteobacteria; Coxiella
ASV_01165,134,ASV,ASV_01165: Gammaproteobacteria; Coxiella
ASV_00129,135,ASV,ASV_00129: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00435,136,ASV,ASV_00435: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00227,137,ASV,ASV_00227: Gammaproteobacteria; Photobacterium
ASV_00147,138,ASV,ASV_00147: Gammaproteobacteria; Vibrio
ASV_00355,139,ASV,ASV_00355: Gammaproteobacteria; Vibrionaceae
ASV_00677,140,ASV,ASV_00677: Gammaproteobacteria; Ga0077536
ASV_00374,141,ASV,ASV_00374: Gammaproteobacteria; Alcanivorax
ASV_00040,142,ASV,ASV_00040: Gammaproteobacteria; OM60(NOR5) clade
ASV_00156,143,ASV,ASV_00156: Gammaproteobacteria; OM60(NOR5) clade
ASV_00333,144,ASV,ASV_00333: Gammaproteobacteria; OM60(NOR5) clade
ASV_00096,145,ASV,ASV_00096: Gammaproteobacteria; KI89A clade
ASV_00153,146,ASV,ASV_00153: Gammaproteobacteria; Pseudohongiella
ASV_00181,147,ASV,ASV_00181: Gammaproteobacteria; Pseudomonas
ASV_00248,148,ASV,ASV_00248: Gammaproteobacteria; Pseudomonas
ASV_00008,149,ASV,ASV_00008: Gammaproteobacteria; SAR86 clade
ASV_00011,150,ASV,ASV_00011: Gammaproteobacteria; SAR86 clade
ASV_00020,151,ASV,ASV_00020: Gammaproteobacteria; SAR86 clade
ASV_00055,152,ASV,ASV_00055: Gammaproteobacteria; SAR86 clade
ASV_00123,153,ASV,ASV_00123: Gammaproteobacteria; SAR86 clade
ASV_00196,154,ASV,ASV_00196: Gammaproteobacteria; SAR86 clade
ASV_00197,155,ASV,ASV_00197: Gammaproteobacteria; SAR86 clade
ASV_00206,156,ASV,ASV_00206: Gammaproteobacteria; SAR86 clade
ASV_00216,157,ASV,ASV_00216: Gammaproteobacteria; SAR86 clade
ASV_00235,158,ASV,ASV_00235: Gammaproteobacteria; SAR86 clade
ASV_00280,159,ASV,ASV_00280: Gammaproteobacteria; SAR86 clade
ASV_00353,160,ASV,ASV_00353: Gammaproteobacteria; SAR86 clade
ASV_00553,161,ASV,ASV_00553: Gammaproteobacteria; SAR86 clade
ASV_00649,162,ASV,ASV_00649: Gammaproteobacteria; SAR86 clade
ASV_00138,163,ASV,ASV_00138: Gammaproteobacteria; BD1-7 clade
ASV_00642,164,ASV,ASV_00642: Proteobacteria; Gammaproteobacteria
ASV_01146,165,ASV,ASV_01146: Proteobacteria; Gammaproteobacteria
ASV_00736,166,ASV,ASV_00736: Bacteria; Proteobacteria
ASV_00155,167,ASV,ASV_00155: Bacteria; SAR324 clade(Marine group B)
ASV_00209,168,ASV,ASV_00209: Kiritimatiellae; R76-B128
ASV_01323,169,ASV,ASV_01323: Verrucomicrobiae; A714019
ASV_00018,170,ASV,ASV_00018: Verrucomicrobiae; Coraliomargarita
ASV_00460,171,ASV,ASV_00460: Verrucomicrobiae; Lentimonas
ASV_00317,172,ASV,ASV_00317: Verrucomicrobiae; DEV007
ASV_00441,173,ASV,ASV_00441: Verrucomicrobiae; Rubritalea
pantothenic acid,174,metabolite,pantothenic acid
cysteine 2,175,metabolite,cysteine 2
cysteate,176,metabolite,cysteate
asparagine,177,metabolite,asparagine
glycine,178,metabolite,glycine
phenylalanine,179,metabolite,phenylalanine
threonine,180,metabolite,threonine
citrulline,181,metabolite,citrulline
aspartate,182,metabolite,aspartate
5'UMP,183,metabolite,5'UMP
malic acid,184,metabolite,malic acid
ciliatine,185,metabolite,ciliatine
homoserine betaine,186,metabolite,homoserine betaine
putrescine 2,187,metabolite,putrescine 2
histidine,188,metabolite,histidine
kynurenine,189,metabolite,kynurenine
glutamic acid,190,metabolite,glutamic acid
glutathione 2,191,metabolite,glutathione 2
ornithine 2,192,metabolite,ornithine 2
GABA,193,metabolite,GABA
glutamine,194,metabolite,glutamine
isethionate,195,metabolite,isethionate
alanine,196,metabolite,alanine
arginine,197,metabolite,arginine
isoleucine,198,metabolite,isoleucine
leucine,199,metabolite,leucine
lysine 2,200,metabolite,lysine 2
proline,201,metabolite,proline
serine,202,metabolite,serine
tryptophan,203,metabolite,tryptophan
valine,204,metabolite,valine
sn-glycerol 3-phosphate,205,metabolite,sn-glycerol 3-phosphate
sarcosine,206,metabolite,sarcosine
DHPS,207,metabolite,DHPS
5'AMP,208,metabolite,5'AMP
taurine,209,metabolite,taurine
uridine,210,metabolite,uridine
3'AMP,211,metabolite,3'AMP
spermidine 3,212,metabolite,spermidine 3
