taxon_resolution	contrast	hold	variable	asv_id	test	metric	p_fdr	taxonomy
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00003	cc_da	p_fdr	2.9960376788918134e-12	Alphaproteobacteria;HIMB11
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00003	cc_dv	p_fdr	3.3028578726397047e-9	Alphaproteobacteria;HIMB11
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00003	cc_da	p_fdr	3.5247487979183973e-25	Alphaproteobacteria;HIMB11
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00003	cc_dv	p_fdr	1.4668657190191643e-4	Alphaproteobacteria;HIMB11
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00004	cc_da	p_fdr	0.02026038582527253	Bacteroidia;NS4 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00004	cc_da	p_fdr	3.3736963214563e-15	Bacteroidia;NS4 marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00004	cc_da	p_fdr	9.707785832205014e-24	Bacteroidia;NS4 marine group
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00004	cc_da	p_fdr	0.008336421536714742	Bacteroidia;NS4 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00004	cc_da	p_fdr	2.695760210062827e-9	Bacteroidia;NS4 marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00004	cc_da	p_fdr	1.4145682735796507e-19	Bacteroidia;NS4 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00005	cc_da	p_fdr	3.0639642302353593e-20	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00005	cc_da	p_fdr	2.6777577487594263e-25	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00006	cc_da	p_fdr	7.231364448137024e-10	Bacteroidia;Cryomorphaceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00006	cc_da	p_fdr	4.006772799597694e-17	Bacteroidia;Cryomorphaceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00006	cc_dv	p_fdr	0.00011692837887032522	Bacteroidia;Cryomorphaceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00006	cc_da	p_fdr	2.251018038729284e-37	Bacteroidia;Cryomorphaceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00006	cc_dv	p_fdr	9.985208841408729e-6	Bacteroidia;Cryomorphaceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00006	cc_da	p_fdr	8.933390916716529e-7	Bacteroidia;Cryomorphaceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00006	cc_da	p_fdr	9.563444295288565e-12	Bacteroidia;Cryomorphaceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00006	cc_dv	p_fdr	0.0010516324063371725	Bacteroidia;Cryomorphaceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00006	cc_da	p_fdr	3.1877146339064315e-27	Bacteroidia;Cryomorphaceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00006	cc_dv	p_fdr	1.591670860937635e-4	Bacteroidia;Cryomorphaceae
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00007	cc_da	p_fdr	0.006019697986474355	Cyanobacteria;Prochlorococcus MIT9313
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00007	cc_da	p_fdr	3.265537999844299e-21	Cyanobacteria;Prochlorococcus MIT9313
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00007	cc_da	p_fdr	1.6930807167240248e-31	Cyanobacteria;Prochlorococcus MIT9313
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00007	cc_da	p_fdr	0.008336421536714742	Cyanobacteria;Prochlorococcus MIT9313
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00007	cc_da	p_fdr	5.879593976000547e-20	Cyanobacteria;Prochlorococcus MIT9313
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00007	cc_da	p_fdr	9.440782438368461e-30	Cyanobacteria;Prochlorococcus MIT9313
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00008	cc_da	p_fdr	6.508743029001257e-16	Gammaproteobacteria;SAR86 clade
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00008	cc_da	p_fdr	3.0672105786795265e-25	Gammaproteobacteria;SAR86 clade
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00008	cc_da	p_fdr	4.220897939330585e-9	Gammaproteobacteria;SAR86 clade
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00008	cc_da	p_fdr	5.93467390465191e-12	Gammaproteobacteria;SAR86 clade
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00009	cc_da	p_fdr	1.9527934220263957e-4	Bacteroidia;Flavobacteriaceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00009	cc_da	p_fdr	1.2108915768249236e-40	Bacteroidia;Flavobacteriaceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00009	cc_dv	p_fdr	0.0422441919969614	Bacteroidia;Flavobacteriaceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00009	cc_da	p_fdr	7.976530958243623e-68	Bacteroidia;Flavobacteriaceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00009	cc_dv	p_fdr	0.029787794720888557	Bacteroidia;Flavobacteriaceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00009	cc_da	p_fdr	6.555789244326146e-5	Bacteroidia;Flavobacteriaceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00009	cc_da	p_fdr	9.388538717903825e-31	Bacteroidia;Flavobacteriaceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00009	cc_dv	p_fdr	0.07663406467139969	Bacteroidia;Flavobacteriaceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00009	cc_da	p_fdr	2.3219539641571296e-61	Bacteroidia;Flavobacteriaceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00009	cc_dv	p_fdr	0.027639735550309796	Bacteroidia;Flavobacteriaceae
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00010	cc_da	p_fdr	0.03022309830438479	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00010	cc_da	p_fdr	1.3795369310882417e-25	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00010	cc_da	p_fdr	3.4738632051683265e-34	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00011	cc_da	p_fdr	1.8655020455996558e-10	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00011	cc_da	p_fdr	2.96833097666307e-14	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00012	cc_da	p_fdr	0.02851269207531681	Alphaproteobacteria;SAR11 Clade II
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00012	cc_da	p_fdr	2.729072216020704e-23	Alphaproteobacteria;SAR11 Clade II
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00012	cc_da	p_fdr	1.7352501238587997e-34	Alphaproteobacteria;SAR11 Clade II
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00012	cc_da	p_fdr	7.284709765660471e-24	Alphaproteobacteria;SAR11 Clade II
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00012	cc_da	p_fdr	7.004451052253441e-29	Alphaproteobacteria;SAR11 Clade II
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00013	cc_dv	p_fdr	0.04520811681596263	Acidimicrobia;Candidatus Actinomarina
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00013	cc_da	p_fdr	4.3111086873391774e-14	Acidimicrobia;Candidatus Actinomarina
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00013	cc_dv	p_fdr	0.014031071187692253	Acidimicrobia;Candidatus Actinomarina
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00013	cc_da	p_fdr	9.76900675587527e-12	Acidimicrobia;Candidatus Actinomarina
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00013	cc_dv	p_fdr	0.08970001599577165	Acidimicrobia;Candidatus Actinomarina
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00013	cc_da	p_fdr	2.484592992532846e-13	Acidimicrobia;Candidatus Actinomarina
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00013	cc_dv	p_fdr	0.014430509797781573	Acidimicrobia;Candidatus Actinomarina
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00013	cc_da	p_fdr	8.709741222588713e-10	Acidimicrobia;Candidatus Actinomarina
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00014	cc_da	p_fdr	0.04406453708414166	Bacteroidia;NS5 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00014	cc_da	p_fdr	1.4090442717422263e-9	Bacteroidia;NS5 marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00014	cc_da	p_fdr	8.734574089417442e-16	Bacteroidia;NS5 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00014	cc_da	p_fdr	0.009108227683773285	Bacteroidia;NS5 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00014	cc_dv	p_fdr	0.0676606133108613	Bacteroidia;NS5 marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00014	cc_da	p_fdr	0.04824628079457148	Bacteroidia;NS5 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00015	cc_da	p_fdr	2.767012911427225e-10	Alphaproteobacteria;SAR116 clade
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00015	cc_da	p_fdr	8.668387414627024e-12	Alphaproteobacteria;SAR116 clade
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00015	cc_da	p_fdr	6.702612568776605e-7	Alphaproteobacteria;SAR116 clade
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00015	cc_da	p_fdr	7.036209272873016e-6	Alphaproteobacteria;SAR116 clade
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00016	cc_dv	p_fdr	0.00483018837684135	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00016	cc_da	p_fdr	5.3141865439288805e-11	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00016	cc_dv	p_fdr	0.012302081678262656	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00016	cc_da	p_fdr	1.0345946822927056e-9	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00017	cc_da	p_fdr	2.819961244934797e-16	Alphaproteobacteria;AEGEAN-169 marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00017	cc_da	p_fdr	3.3072494532903356e-21	Alphaproteobacteria;AEGEAN-169 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00017	cc_da	p_fdr	4.200497826184339e-12	Alphaproteobacteria;AEGEAN-169 marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00017	cc_da	p_fdr	4.825984861051036e-12	Alphaproteobacteria;AEGEAN-169 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00018	cc_da	p_fdr	2.20961183159963e-7	Verrucomicrobiae;Coraliomargarita
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00018	cc_da	p_fdr	6.044958180526331e-8	Verrucomicrobiae;Coraliomargarita
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00018	cc_da	p_fdr	1.2653783618764885e-7	Verrucomicrobiae;Coraliomargarita
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00018	cc_da	p_fdr	4.751606821058131e-8	Verrucomicrobiae;Coraliomargarita
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00019	cc_dv	p_fdr	0.027976066655789042	Bacteroidia;NS2b marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00019	cc_da	p_fdr	0.007801390059047628	Bacteroidia;NS2b marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00019	cc_dv	p_fdr	0.037645891106100254	Bacteroidia;NS2b marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00019	cc_dv	p_fdr	0.009984580204356741	Bacteroidia;NS2b marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00019	cc_da	p_fdr	0.005295145620297449	Bacteroidia;NS2b marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00019	cc_dv	p_fdr	0.08198162359350634	Bacteroidia;NS2b marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00020	cc_da	p_fdr	4.894240082002557e-18	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00020	cc_da	p_fdr	1.665698969555865e-27	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00021	cc_da	p_fdr	0.006776542366326359	Alphaproteobacteria;Rhodobacteraceae
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00021	cc_dv	p_fdr	0.015089274837724535	Alphaproteobacteria;Rhodobacteraceae
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00021	cc_dv	p_fdr	1.0092677021628048e-8	Alphaproteobacteria;Rhodobacteraceae
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00021	cc_da	p_fdr	0.033070807373231544	Alphaproteobacteria;Rhodobacteraceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00021	cc_da	p_fdr	1.9311917455132585e-8	Alphaproteobacteria;Rhodobacteraceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00021	cc_dv	p_fdr	0.011932874624713312	Alphaproteobacteria;Rhodobacteraceae
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00021	cc_da	p_fdr	1.3215686462234849e-5	Alphaproteobacteria;Rhodobacteraceae
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00022	cc_da	p_fdr	0.002898325727837207	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00022	cc_da	p_fdr	1.3873299405597379e-5	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00023	cc_da	p_fdr	8.287375127352697e-4	Alphaproteobacteria;SAR11 Clade Ib
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00023	cc_da	p_fdr	1.1479853187511983e-24	Alphaproteobacteria;SAR11 Clade Ib
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00023	cc_da	p_fdr	9.283440684671726e-35	Alphaproteobacteria;SAR11 Clade Ib
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00023	cc_da	p_fdr	0.03201211447519039	Alphaproteobacteria;SAR11 Clade Ib
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00023	cc_da	p_fdr	5.5834697848715114e-24	Alphaproteobacteria;SAR11 Clade Ib
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00023	cc_da	p_fdr	1.564842084798611e-30	Alphaproteobacteria;SAR11 Clade Ib
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00024	cc_da	p_fdr	0.03022309830438479	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00024	cc_dv	p_fdr	1.8164003941196206e-4	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00024	cc_da	p_fdr	1.3028564545061473e-11	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00024	cc_dv	p_fdr	3.6195037593903076e-8	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00024	cc_da	p_fdr	2.511412357275867e-9	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00025	cc_da	p_fdr	7.30371449040097e-10	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00025	cc_da	p_fdr	2.8817740243777456e-16	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00026	cc_da	p_fdr	0.09728001547545292	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00026	cc_da	p_fdr	0.005144860623234228	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00026	cc_dv	p_fdr	0.058725066164743586	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00026	cc_da	p_fdr	7.370878271721751e-4	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00027	cc_da	p_fdr	3.025470049123316e-5	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00027	cc_dv	p_fdr	0.028633355586641245	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00027	cc_da	p_fdr	9.31763042574567e-8	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00029	cc_da	p_fdr	3.2275943415169734e-13	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00029	cc_da	p_fdr	1.8222342597165366e-16	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00030	cc_da	p_fdr	0.0060863047493191465	NA
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00031	cc_da	p_fdr	2.172734250981641e-25	Bacteria;Marinimicrobia (SAR406 clade)
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00031	cc_da	p_fdr	3.4818193366466074e-31	Bacteria;Marinimicrobia (SAR406 clade)
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00031	cc_da	p_fdr	8.516150972466883e-31	Bacteria;Marinimicrobia (SAR406 clade)
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00031	cc_da	p_fdr	5.2444340473230515e-30	Bacteria;Marinimicrobia (SAR406 clade)
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00032	cc_da	p_fdr	0.00566059056998231	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00032	cc_da	p_fdr	2.2293934824707295e-13	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00032	cc_dv	p_fdr	0.0018183940876665826	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00032	cc_da	p_fdr	6.349636883769836e-19	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00034	cc_da	p_fdr	0.0033485752519428614	NA
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00035	cc_dv	p_fdr	0.0021789167971445456	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00035	cc_da	p_fdr	0.004923485465789608	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00035	cc_dv	p_fdr	0.04692802010361801	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00035	cc_da	p_fdr	0.0011647949729035702	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00036	cc_da	p_fdr	0.006776542366326359	Bacteroidia;NS9 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00036	cc_da	p_fdr	1.1981298278163486e-7	Bacteroidia;NS9 marine group
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00036	cc_dv	p_fdr	0.050872181590913244	Bacteroidia;NS9 marine group
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00036	cc_da	p_fdr	1.3085137731499475e-13	Bacteroidia;NS9 marine group
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00036	cc_dv	p_fdr	0.04369647431249994	Bacteroidia;NS9 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00036	cc_da	p_fdr	1.5817611152355376e-10	Bacteroidia;NS9 marine group
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00036	cc_dv	p_fdr	0.020983610269788656	Bacteroidia;NS9 marine group
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00036	cc_da	p_fdr	2.030431510056077e-8	Bacteroidia;NS9 marine group
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00037	cc_dv	p_fdr	0.0024795761740704827	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00037	cc_da	p_fdr	0.009998524875936813	NA
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00037	cc_dv	p_fdr	0.0017312097652523995	NA
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00037	cc_da	p_fdr	0.008985940070036095	NA
agg_genus	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00038	cc_da	p_fdr	1.4969287987978396e-4	Bacteroidia;Formosa
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00038	cc_da	p_fdr	9.447663140139252e-33	Bacteroidia;Formosa
agg_genus	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00038	cc_dv	p_fdr	0.02276306953591287	Bacteroidia;Formosa
agg_genus	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00038	cc_da	p_fdr	3.623975492938452e-45	Bacteroidia;Formosa
asv	dawn (Yawzi - Tektite)	dawn	Yawzi - Tektite	ASV_00038	cc_da	p_fdr	2.1474836110660866e-4	Bacteroidia;Formosa
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00038	cc_da	p_fdr	1.6291172698400973e-31	Bacteroidia;Formosa
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00038	cc_dv	p_fdr	0.017717417902297274	Bacteroidia;Formosa
asv	dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00038	cc_da	p_fdr	1.9734946622421097e-44	Bacteroidia;Formosa
asv	dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00039	cc_da	p_fdr	3.108528263429184e-10	NA
