Label,Id,omics_type,taxonomy
ASV_00472,42,ASV,ASV_00472: Alphaproteobacteria; SAR11 Clade III
ASV_00501,43,ASV,ASV_00501: Proteobacteria; Alphaproteobacteria
ASV_00475,44,ASV,ASV_00475: Gammaproteobacteria; Coxiella
ASV_00435,45,ASV,ASV_00435: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00054,46,ASV,ASV_00054: Gammaproteobacteria; Alteromonas
ASV_00410,47,ASV,ASV_00410: Gammaproteobacteria; Salinimonas
ASV_00355,48,ASV,ASV_00355: Gammaproteobacteria; Vibrionaceae
ASV_00667,49,ASV,ASV_00667: Gammaproteobacteria; Vibrionaceae
ASV_00271,50,ASV,ASV_00271: Gammaproteobacteria; Luminiphilus
ASV_00040,51,ASV,ASV_00040: Gammaproteobacteria; OM60(NOR5) clade
ASV_00376,52,ASV,ASV_00376: Gammaproteobacteria; OM60(NOR5) clade
ASV_00105,53,ASV,ASV_00105: Gammaproteobacteria; Marinobacterium
ASV_00061,54,ASV,ASV_00061: Gammaproteobacteria; Pseudomonas
ASV_00178,55,ASV,ASV_00178: Gammaproteobacteria; SAR86 clade
ASV_00111,56,ASV,ASV_00111: Gammaproteobacteria; Pseudomonadales
ASV_00028,57,ASV,ASV_00028: Gammaproteobacteria; Stenotrophomonas
ASV_00641,58,ASV,ASV_00641: Proteobacteria; Gammaproteobacteria
ASV_00328,59,ASV,ASV_00328: Verrucomicrobiae; MB11C04 marine group
ASV_00338,60,ASV,ASV_00338: Verrucomicrobiae; MB11C04 marine group
homoserine betaine,61,metabolite,homoserine betaine
3'AMP,62,metabolite,3'AMP
taurine,63,metabolite,taurine
sarcosine,64,metabolite,sarcosine
5'UMP,65,metabolite,5'UMP
proline,66,metabolite,proline
ornithine 2,67,metabolite,ornithine 2
serine,68,metabolite,serine
glycine,69,metabolite,glycine
alanine,70,metabolite,alanine
lysine 2,71,metabolite,lysine 2
phenylalanine,72,metabolite,phenylalanine
citrulline,73,metabolite,citrulline
threonine,74,metabolite,threonine
valine,75,metabolite,valine
isoleucine,76,metabolite,isoleucine
leucine,77,metabolite,leucine
asparagine,78,metabolite,asparagine
aspartate,79,metabolite,aspartate
glutamic acid,80,metabolite,glutamic acid
kynurenine,81,metabolite,kynurenine
histidine,82,metabolite,histidine
5'AMP,83,metabolite,5'AMP
DHPS,84,metabolite,DHPS
glutamine,85,metabolite,glutamine
tryptophan,86,metabolite,tryptophan
pantothenic acid,87,metabolite,pantothenic acid
uridine,88,metabolite,uridine
isethionate,89,metabolite,isethionate
