asv_id	label
ASV_00060	ASV_00060: Alphaproteobacteria; Litorimicrobium
ASV_00061	ASV_00061: Gammaproteobacteria; Pseudomonas
ASV_00063	ASV_00063: Gammaproteobacteria; SAR86 clade
ASV_00064	ASV_00064: Alphaproteobacteria; Stappiaceae
ASV_00065	ASV_00065: Gammaproteobacteria; OM60(NOR5) clade
ASV_00066	ASV_00066: Cyanobacteria; Cyanobium PCC-6307
ASV_00067	ASV_00067: Alphaproteobacteria; SAR11 Clade Ia
ASV_00068	ASV_00068: Alphaproteobacteria; SAR11 Clade Ia
ASV_00069	ASV_00069: Bacteroidia; Cryomorphaceae
ASV_00070	ASV_00070: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00071	ASV_00071: Bacteroidia; NS9 marine group
ASV_00072	ASV_00072: Alphaproteobacteria; SAR11 Clade IV
ASV_00073	ASV_00073: Bacteroidia; NS4 marine group
ASV_00074	ASV_00074: Bacteroidia; Cryomorphaceae
ASV_00075	ASV_00075: Bacteroidia; NS2b marine group
ASV_00077	ASV_00077: Alphaproteobacteria; SAR116 clade
ASV_00079	ASV_00079: Alphaproteobacteria; SAR116 clade
ASV_00080	ASV_00080: Rhodothermia; Balneola
ASV_00082	ASV_00082: Gammaproteobacteria; SAR86 clade
ASV_00083	ASV_00083: Alphaproteobacteria; SAR11 Clade Ib
ASV_00084	ASV_00084: Bacteroidia; Marinoscillum
ASV_00085	ASV_00085: Alphaproteobacteria; SAR11 Clade Ib
ASV_00086	ASV_00086: Thermoplasmata; Marine Group II
ASV_00087	ASV_00087: Alphaproteobacteria; Stappiaceae
ASV_00088	ASV_00088: Alphaproteobacteria; SAR116 clade
ASV_00089	ASV_00089: Bacteroidia; Cryomorphaceae
ASV_00091	ASV_00091: Cyanobacteria; Prochlorococcus MIT9313
ASV_00092	ASV_00092: Gammaproteobacteria; Acinetobacter
ASV_00093	ASV_00093: Alphaproteobacteria; Defluviicoccales
ASV_00094	ASV_00094: Cyanobacteria; Cyanobiaceae
ASV_00095	ASV_00095: Bacteroidia; Flavobacteriaceae
ASV_00096	ASV_00096: Gammaproteobacteria; KI89A clade
ASV_00097	ASV_00097: Bacteroidia; Tenacibaculum
ASV_00098	ASV_00098: Thermoplasmata; Marine Group II
ASV_00099	ASV_00099: Cyanobacteria; Synechococcus CC9902
ASV_00100	ASV_00100: Acidimicrobia; Candidatus Actinomarina
ASV_00101	ASV_00101: Bacteroidia; NS5 marine group
ASV_00102	ASV_00102: Alphaproteobacteria; SAR11 Clade Ia
ASV_00103	ASV_00103: Alphaproteobacteria; PS1 clade
ASV_00104	ASV_00104: Bacteroidia; NS9 marine group
ASV_00105	ASV_00105: Gammaproteobacteria; Marinobacterium
ASV_00107	ASV_00107: Bacteroidia; NS5 marine group
ASV_00108	ASV_00108: Gammaproteobacteria; Pseudomonas
ASV_00109	ASV_00109: Bacteroidia; NS4 marine group
ASV_00110	ASV_00110: Alphaproteobacteria; SAR11 Clade II
ASV_00111	ASV_00111: Gammaproteobacteria; Pseudomonadales
ASV_00112	ASV_00112: Bacteroidia; Cryomorphaceae
ASV_00113	ASV_00113: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00114	ASV_00114: Alphaproteobacteria; Rhodobacteraceae
ASV_00115	ASV_00115: Cyanobacteria; Synechococcus CC9902
ASV_00116	ASV_00116: Alphaproteobacteria; SAR116 clade
ASV_00117	ASV_00117: Alphaproteobacteria; PS1 clade
ASV_00118	ASV_00118: Bacteroidia; NS2b marine group
ASV_00119	ASV_00119: Gammaproteobacteria; SAR92 clade
ASV_00120	ASV_00120: Alphaproteobacteria; PS1 clade
ASV_00121	ASV_00121: Cyanobacteria; Synechococcus CC9902
ASV_00122	ASV_00122: Bacteroidia; Flavobacteriaceae
ASV_00123	ASV_00123: Gammaproteobacteria; SAR86 clade
ASV_00124	ASV_00124: Bacteroidia; NS11-12 marine group
ASV_00125	ASV_00125: Alphaproteobacteria; SAR11 Clade III
ASV_00126	ASV_00126: Gammaproteobacteria; SAR86 clade
ASV_00128	ASV_00128: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00129	ASV_00129: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00130	ASV_00130: Gammaproteobacteria; OM182 clade
ASV_00131	ASV_00131: Alphaproteobacteria; Thalassobius
ASV_00132	ASV_00132: Bacteroidia; NS9 marine group
ASV_00133	ASV_00133: Alphaproteobacteria; S25-593
ASV_00134	ASV_00134: Acidimicrobia; Candidatus Actinomarina
ASV_00136	ASV_00136: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00138	ASV_00138: Gammaproteobacteria; BD1-7 clade
ASV_00140	ASV_00140: Bacteroidia; NS9 marine group
ASV_00141	ASV_00141: Gammaproteobacteria; SAR86 clade
ASV_00142	ASV_00142: Gammaproteobacteria; Pseudomonas
ASV_00143	ASV_00143: Bacteroidia; NS4 marine group
ASV_00144	ASV_00144: Bacilli; Bacillus
ASV_00145	ASV_00145: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00146	ASV_00146: Gammaproteobacteria; MWH-UniP1 aquatic group
ASV_00147	ASV_00147: Gammaproteobacteria; Vibrio
ASV_00148	ASV_00148: Gammaproteobacteria; Neisseria
ASV_00149	ASV_00149: Thermoplasmata; Marine Group II
ASV_00150	ASV_00150: Verrucomicrobiae; MB11C04 marine group
ASV_00151	ASV_00151: Cyanobacteria; Cyanobium PCC-6307
ASV_00153	ASV_00153: Gammaproteobacteria; Pseudohongiella
ASV_00154	ASV_00154: Bacteroidia; NS5 marine group
ASV_00155	ASV_00155: Bacteria; SAR324 clade(Marine group B)
ASV_00156	ASV_00156: Gammaproteobacteria; OM60(NOR5) clade
ASV_00157	ASV_00157: Clostridia; Clostridium sensu stricto 1
ASV_00158	ASV_00158: Bacteroidia; NS9 marine group
ASV_00159	ASV_00159: Gammaproteobacteria; SAR86 clade
ASV_00160	ASV_00160: Campylobacteria; Helicobacter
ASV_00161	ASV_00161: Alphaproteobacteria; S25-593
ASV_00162	ASV_00162: Bacilli; Listeria
ASV_00163	ASV_00163: Alphaproteobacteria; SAR11 Clade II
ASV_00164	ASV_00164: Bacteroidia; Chitinophagales
ASV_00165	ASV_00165: Bacteroidia; NS4 marine group
ASV_00166	ASV_00166: Clostridia; Clostridium sensu stricto 1
ASV_00167	ASV_00167: Alphaproteobacteria; S25-593
ASV_00168	ASV_00168: Gammaproteobacteria; Litoricola
ASV_00169	ASV_00169: Gammaproteobacteria; Acinetobacter
ASV_00171	ASV_00171: Alphaproteobacteria; Candidatus Puniceispirillum
ASV_00172	ASV_00172: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00173	ASV_00173: Cyanobacteria; Synechococcus CC9902
ASV_00175	ASV_00175: Alphaproteobacteria; SAR116 clade
ASV_00176	ASV_00176: Bacteroidia; NS9 marine group
ASV_00177	ASV_00177: Gammaproteobacteria; Pseudoalteromonas
ASV_00178	ASV_00178: Gammaproteobacteria; SAR86 clade
ASV_00180	ASV_00180: Gammaproteobacteria; SAR86 clade
ASV_00181	ASV_00181: Gammaproteobacteria; Pseudomonas
ASV_00182	ASV_00182: Bacteroidia; NS9 marine group
ASV_00183	ASV_00183: Gammaproteobacteria; Pseudomonas
ASV_00185	ASV_00185: Verrucomicrobiae; MB11C04 marine group
ASV_00187	ASV_00187: Bacteroidia; Cryomorphaceae
ASV_00188	ASV_00188: Alphaproteobacteria; SAR116 clade
ASV_00190	ASV_00190: Bacteroidia; Cryomorphaceae
ASV_00191	ASV_00191: Proteobacteria; Alphaproteobacteria
ASV_00192	ASV_00192: Bacteroidia; NS9 marine group
ASV_00194	ASV_00194: Deinococci; Deinococcus
ASV_00195	ASV_00195: Bacteroidia; NS5 marine group
ASV_00196	ASV_00196: Gammaproteobacteria; SAR86 clade
ASV_00197	ASV_00197: Gammaproteobacteria; SAR86 clade
ASV_00199	ASV_00199: Bacteroidia; NS9 marine group
ASV_00200	ASV_00200: Alphaproteobacteria; Rhodobacteraceae
ASV_00201	ASV_00201: Alphaproteobacteria; SAR116 clade
ASV_00202	ASV_00202: Bacteroidia; NS4 marine group
ASV_00203	ASV_00203: Alphaproteobacteria; Caulobacteraceae
ASV_00205	ASV_00205: Alphaproteobacteria; SAR11 Clade II
ASV_00206	ASV_00206: Gammaproteobacteria; SAR86 clade
ASV_00207	ASV_00207: Alphaproteobacteria; SAR11 Clade II
ASV_00208	ASV_00208: Alphaproteobacteria; SAR116 clade
ASV_00209	ASV_00209: Kiritimatiellae; R76-B128
ASV_00210	ASV_00210: Alphaproteobacteria; SAR116 clade
ASV_00211	ASV_00211: Bacteroidia; NS4 marine group
ASV_00215	ASV_00215: Bacteroidia; Saprospiraceae
ASV_00216	ASV_00216: Gammaproteobacteria; SAR86 clade
ASV_00217	ASV_00217: Gammaproteobacteria; Coxiella
ASV_00218	ASV_00218: Bacteroidia; NS4 marine group
ASV_00219	ASV_00219: Bacilli; Lactobacillus
ASV_00220	ASV_00220: Bacilli; Enterococcus
ASV_00221	ASV_00221: Alphaproteobacteria; Rhodobacteraceae
ASV_00222	ASV_00222: Bacteroidia; Saprospiraceae
ASV_00223	ASV_00223: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00224	ASV_00224: Alphaproteobacteria; HIMB11
ASV_00225	ASV_00225: Bacteroidia; NS5 marine group
ASV_00226	ASV_00226: Gammaproteobacteria; SAR92 clade
ASV_00227	ASV_00227: Gammaproteobacteria; Photobacterium
ASV_00228	ASV_00228: Bacteroidia; NS2b marine group
ASV_00229	ASV_00229: Bacteroidia; Cyclobacteriaceae
ASV_00230	ASV_00230: Clostridia; Paramaledivibacter
ASV_00231	ASV_00231: Gammaproteobacteria; Delftia
ASV_00232	ASV_00232: Alphaproteobacteria; Stappiaceae
ASV_00233	ASV_00233: Alphaproteobacteria; SAR116 clade
ASV_00234	ASV_00234: Bacilli; Streptococcus
ASV_00235	ASV_00235: Gammaproteobacteria; SAR86 clade
ASV_00236	ASV_00236: Gammaproteobacteria; Thiotrichaceae
ASV_00238	ASV_00238: Bacteroidia; Chitinophagales
ASV_00239	ASV_00239: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00240	ASV_00240: Bdellovibrionia; OM27 clade
ASV_00241	ASV_00241: Alphaproteobacteria; SAR11 Clade II
ASV_00243	ASV_00243: Bacteroidia; Winogradskyella
ASV_00245	ASV_00245: Alphaproteobacteria; SAR116 clade
ASV_00246	ASV_00246: Bacteroidia; NS11-12 marine group
ASV_00247	ASV_00247: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00248	ASV_00248: Gammaproteobacteria; Pseudomonas
ASV_00251	ASV_00251: Gammaproteobacteria; Alteromonadaceae
ASV_00252	ASV_00252: Bacteroidia; Flavobacteriaceae
ASV_00253	ASV_00253: Alphaproteobacteria; SAR11 Clade II
ASV_00255	ASV_00255: Verrucomicrobiae; MB11C04 marine group
ASV_00256	ASV_00256: Gammaproteobacteria; Aquabacterium
ASV_00258	ASV_00258: Alphaproteobacteria; SAR11 Clade II
ASV_00259	ASV_00259: Alphaproteobacteria; Defluviicoccales
ASV_00260	ASV_00260: Bacteroidia; Flavobacteriales
ASV_00261	ASV_00261: Bacteroidia; NS4 marine group
ASV_00262	ASV_00262: Gammaproteobacteria; Acinetobacter
ASV_00263	ASV_00263: Bacteroidia; Cryomorphaceae
ASV_00264	ASV_00264: Alphaproteobacteria; Erythrobacter
ASV_00266	ASV_00266: Alphaproteobacteria; SAR11 Clade II
ASV_00269	ASV_00269: Gammaproteobacteria; Enterobacterales
ASV_00271	ASV_00271: Gammaproteobacteria; Luminiphilus
ASV_00272	ASV_00272: Alphaproteobacteria; S25-593
ASV_00273	ASV_00273: Alphaproteobacteria; Rhodobacter
ASV_00274	ASV_00274: Gammaproteobacteria; Pseudomonadales
ASV_00275	ASV_00275: Actinobacteria; Actinomyces
ASV_00277	ASV_00277: Planctomycetes; Rubripirellula
ASV_00278	ASV_00278: Alphaproteobacteria; SAR11 Clade Ia
ASV_00279	ASV_00279: Bacteroidia; NS5 marine group
ASV_00280	ASV_00280: Gammaproteobacteria; SAR86 clade
ASV_00281	ASV_00281: Alphaproteobacteria; SAR11 Clade Ia
ASV_00282	ASV_00282: Desulfobulbia; Desulfocapsaceae
ASV_00283	ASV_00283: Gammaproteobacteria; Photobacterium
ASV_00285	ASV_00285: Bacilli; Enterococcus
ASV_00286	ASV_00286: Bacilli; Streptococcus
ASV_00287	ASV_00287: Bacteroidia; Cryomorphaceae
ASV_00289	ASV_00289: Bacteroidia; NS5 marine group
ASV_00290	ASV_00290: Planctomycetota; OM190
ASV_00291	ASV_00291: Alphaproteobacteria; SAR11 Clade II
ASV_00292	ASV_00292: Thermoplasmata; Marine Group II
ASV_00294	ASV_00294: Rhodothermia; Balneola
ASV_00295	ASV_00295: Bacteroidia; NS5 marine group
ASV_00297	ASV_00297: Bacteroidia; Flavobacteriaceae
ASV_00298	ASV_00298: Alphaproteobacteria; SAR11 Clade IV
ASV_00300	ASV_00300: Actinobacteria; Candidatus Aquiluna
ASV_00301	ASV_00301: Alphaproteobacteria; Ascidiaceihabitans
ASV_00302	ASV_00302: Alphaproteobacteria; SAR11 Clade III
ASV_00303	ASV_00303: Thermoplasmata; Marine Group II
ASV_00304	ASV_00304: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00305	ASV_00305: Alphaproteobacteria; Caulobacteraceae
ASV_00307	ASV_00307: Gammaproteobacteria; OM43 clade
ASV_00308	ASV_00308: Gammaproteobacteria; OM60(NOR5) clade
ASV_00311	ASV_00311: Thermoplasmata; Marine Group II
ASV_00313	ASV_00313: Planctomycetes; Pirellulaceae
ASV_00314	ASV_00314: Bacteria; Proteobacteria
ASV_00315	ASV_00315: Alphaproteobacteria; SAR116 clade
ASV_00316	ASV_00316: Bacteroidia; Flavobacteriaceae
ASV_00317	ASV_00317: Verrucomicrobiae; DEV007
ASV_00318	ASV_00318: Clostridia; Oscillibacter
ASV_00319	ASV_00319: Planctomycetota; OM190
ASV_00320	ASV_00320: Bacteroidia; NS7 marine group
ASV_00321	ASV_00321: Bacteroidia; Aureicoccus
ASV_00322	ASV_00322: Gammaproteobacteria; Vibrio
ASV_00323	ASV_00323: Alphaproteobacteria; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_00324	ASV_00324: Alphaproteobacteria; SAR11 Clade II
ASV_00325	ASV_00325: Bacteroidia; Marinoscillum
ASV_00327	ASV_00327: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00328	ASV_00328: Verrucomicrobiae; MB11C04 marine group
ASV_00329	ASV_00329: Thermoplasmata; Marine Group II
ASV_00330	ASV_00330: Alphaproteobacteria; SAR11 Clade II
ASV_00332	ASV_00332: Bacteroidia; NS4 marine group
ASV_00333	ASV_00333: Gammaproteobacteria; OM60(NOR5) clade
ASV_00334	ASV_00334: Bdellovibrionia; OM27 clade
ASV_00336	ASV_00336: Alphaproteobacteria; S25-593
ASV_00337	ASV_00337: Desulfuromonadia; Bradymonadales
ASV_00338	ASV_00338: Verrucomicrobiae; MB11C04 marine group
ASV_00339	ASV_00339: Gammaproteobacteria; Aestuariibacter
ASV_00341	ASV_00341: Bacteroidia; Bacteroides
ASV_00342	ASV_00342: Bacteroidia; NS5 marine group
ASV_00343	ASV_00343: Alphaproteobacteria; SAR11 Clade Ia
ASV_00344	ASV_00344: Alphaproteobacteria; SAR11 Clade II
ASV_00345	ASV_00345: Bacteroidia; NS4 marine group
ASV_00346	ASV_00346: Dehalococcoidia; SAR202 clade
ASV_00347	ASV_00347: Bacteroidia; NS5 marine group
ASV_00348	ASV_00348: Alphaproteobacteria; Aestuariicoccus
ASV_00349	ASV_00349: Fusobacteria; Propionigenium
ASV_00351	ASV_00351: Bacteroidia; NS9 marine group
ASV_00352	ASV_00352: Bacteroidia; Cyclobacteriaceae
ASV_00353	ASV_00353: Gammaproteobacteria; SAR86 clade
ASV_00354	ASV_00354: Alphaproteobacteria; Parvibaculaceae
ASV_00355	ASV_00355: Gammaproteobacteria; Vibrionaceae
ASV_00356	ASV_00356: Alphaproteobacteria; SAR11 Clade III
ASV_00357	ASV_00357: Alphaproteobacteria; Rhodobacteraceae
ASV_00358	ASV_00358: Bacteroidia; Tenacibaculum
ASV_00359	ASV_00359: Myxococcia; P3OB-42
ASV_00360	ASV_00360: Bacteroidia; Fabibacter
ASV_00361	ASV_00361: Proteobacteria; Gammaproteobacteria
ASV_00362	ASV_00362: Gammaproteobacteria; Rheinheimera
ASV_00364	ASV_00364: Gammaproteobacteria; KI89A clade
ASV_00365	ASV_00365: Bacteroidia; NS4 marine group
ASV_00366	ASV_00366: Alphaproteobacteria; SAR11 Clade II
ASV_00367	ASV_00367: Clostridia; Lachnospiraceae
ASV_00368	ASV_00368: Alphaproteobacteria; SAR116 clade
ASV_00369	ASV_00369: Bacteroidia; Flavobacteriaceae
ASV_00370	ASV_00370: Desulfuromonadia; PB19
ASV_00372	ASV_00372: Bacteroidia; Mesoflavibacter
ASV_00373	ASV_00373: Gammaproteobacteria; Pseudomonas
ASV_00374	ASV_00374: Gammaproteobacteria; Alcanivorax
ASV_00375	ASV_00375: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00376	ASV_00376: Gammaproteobacteria; OM60(NOR5) clade
ASV_00377	ASV_00377: Bacteroidia; NS5 marine group
ASV_00381	ASV_00381: Alphaproteobacteria; SAR11 Clade II
ASV_00382	ASV_00382: Alphaproteobacteria; Sphingobium
ASV_00384	ASV_00384: Clostridia; UCG-005
ASV_00386	ASV_00386: Bdellovibrionia; OM27 clade
ASV_00387	ASV_00387: Bacteria; SAR324 clade(Marine group B)
ASV_00388	ASV_00388: Gammaproteobacteria; Pseudomonas
ASV_00389	ASV_00389: Alphaproteobacteria; Holosporaceae
ASV_00390	ASV_00390: Alphaproteobacteria; PS1 clade
ASV_00391	ASV_00391: Alphaproteobacteria; SAR11 Clade II
ASV_00392	ASV_00392: Oligoflexia; Oligoflexaceae
ASV_00394	ASV_00394: Alphaproteobacteria; SAR116 clade
ASV_00395	ASV_00395: Alphaproteobacteria; Ascidiaceihabitans
ASV_00396	ASV_00396: Alphaproteobacteria; SAR116 clade
ASV_00397	ASV_00397: Alphaproteobacteria; SAR11 Clade III
ASV_00398	ASV_00398: Alphaproteobacteria; Stappiaceae
ASV_00399	ASV_00399: Alphaproteobacteria; Celeribacter
ASV_00400	ASV_00400: Gammaproteobacteria; Thiomicrorhabdus
ASV_00401	ASV_00401: Alphaproteobacteria; SAR11 Clade II
ASV_00402	ASV_00402: Clostridia; NK4A214 group
ASV_00404	ASV_00404: Gammaproteobacteria; Endozoicomonas
ASV_00406	ASV_00406: Alphaproteobacteria; SAR11 Clade II
ASV_00408	ASV_00408: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00410	ASV_00410: Gammaproteobacteria; Salinimonas
ASV_00411	ASV_00411: Bacteroidia; Bacteroides
ASV_00413	ASV_00413: Alphaproteobacteria; SAR11 Clade II
ASV_00415	ASV_00415: Clostridia; UCG-005
ASV_00417	ASV_00417: Cyanobacteria; Synechococcus CC9902
ASV_00418	ASV_00418: Bacteroidia; Marinoscillum
ASV_00420	ASV_00420: Clostridia; Paraclostridium
ASV_00421	ASV_00421: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00423	ASV_00423: Bacteroidia; Saprospiraceae
ASV_00427	ASV_00427: Clostridia; Peptoclostridium
ASV_00428	ASV_00428: Bacteroidia; NS5 marine group
ASV_00429	ASV_00429: Thermoplasmata; Marine Group III
ASV_00430	ASV_00430: Planctomycetota; OM190
ASV_00431	ASV_00431: Bacteria; Marinimicrobia (SAR406 clade)
ASV_00432	ASV_00432: Gammaproteobacteria; Marinobacter
ASV_00433	ASV_00433: Blastocatellia; Blastocatellaceae
ASV_00435	ASV_00435: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00436	ASV_00436: Alphaproteobacteria; SAR11 Clade II
ASV_00437	ASV_00437: Alphaproteobacteria; SAR11 Clade II
ASV_00438	ASV_00438: Thermoplasmata; Marine Group II
ASV_00440	ASV_00440: Bacteroidia; Saprospiraceae
ASV_00441	ASV_00441: Verrucomicrobiae; Rubritalea
ASV_00442	ASV_00442: Bacteroidia; Saprospiraceae
ASV_00443	ASV_00443: Alphaproteobacteria; S25-593
ASV_00444	ASV_00444: Gammaproteobacteria; Thiomicrorhabdus
ASV_00445	ASV_00445: Cyanobacteria; Oscillatoriaceae
ASV_00446	ASV_00446: Bacilli; Erysipelotrichaceae
ASV_00447	ASV_00447: Bacteroidia; Bacteroides
ASV_00448	ASV_00448: Gammaproteobacteria; Coxiella
ASV_00450	ASV_00450: Bacteroidia; Bacteroides
ASV_00451	ASV_00451: Bdellovibrionia; Bacteriovoracaceae
ASV_00452	ASV_00452: Gammaproteobacteria; Candidatus Endoecteinascidia
ASV_00453	ASV_00453: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00454	ASV_00454: Alphaproteobacteria; Candidatus Puniceispirillum
ASV_00455	ASV_00455: Bacteroidia; Cryomorphaceae
ASV_00456	ASV_00456: Bacteroidia; Alloprevotella
ASV_00457	ASV_00457: Alphaproteobacteria; AEGEAN-169 marine group
ASV_00459	ASV_00459: Clostridia; [Eubacterium] coprostanoligenes group
ASV_00460	ASV_00460: Verrucomicrobiae; Lentimonas
ASV_00461	ASV_00461: Gammaproteobacteria; OM60(NOR5) clade
ASV_00462	ASV_00462: Bdellovibrionia; OM27 clade
ASV_00463	ASV_00463: Verrucomicrobiae; Coraliomargarita
ASV_00464	ASV_00464: Bacteroidia; Leeuwenhoekiella
ASV_00465	ASV_00465: Bdellovibrionia; OM27 clade
ASV_00468	ASV_00468: Clostridia; NK4A214 group
ASV_00469	ASV_00469: Alphaproteobacteria; Hyphomonadaceae
ASV_00470	ASV_00470: Gammaproteobacteria; Coxiella
ASV_00471	ASV_00471: Bacteroidia; NS5 marine group
ASV_00472	ASV_00472: Alphaproteobacteria; SAR11 Clade III
ASV_00473	ASV_00473: Bacteroidia; Bacteroides
ASV_00474	ASV_00474: Actinobacteria; Microbacteriaceae
ASV_00475	ASV_00475: Gammaproteobacteria; Coxiella
ASV_00476	ASV_00476: Clostridia; Epulopiscium
ASV_00477	ASV_00477: Clostridia; Anaerovoracaceae
ASV_00478	ASV_00478: Clostridia; UCG-005
ASV_00479	ASV_00479: Bacteroidia; Flavobacteriaceae
ASV_00481	ASV_00481: Clostridia; UCG-005
ASV_00482	ASV_00482: Desulfuromonadia; Bradymonadales
ASV_00484	ASV_00484: Verrucomicrobiae; Rubritalea
ASV_00485	ASV_00485: Alphaproteobacteria; SAR11 Clade III
ASV_00486	ASV_00486: Clostridia; Colidextribacter
ASV_00487	ASV_00487: Bdellovibrionia; OM27 clade
ASV_00488	ASV_00488: Oligoflexia; Oligoflexaceae
ASV_00489	ASV_00489: Clostridia; [Eubacterium] brachy group
ASV_00490	ASV_00490: Gammaproteobacteria; Enterobacterales
ASV_00491	ASV_00491: Alphaproteobacteria; OM75 clade
ASV_00492	ASV_00492: Alphaproteobacteria; Thalassobaculales
ASV_00493	ASV_00493: Fusobacteria; Propionigenium
ASV_00494	ASV_00494: Clostridia; Lachnospiraceae NK4A136 group
ASV_00495	ASV_00495: Bacteroidia; Crocinitomix
ASV_00498	ASV_00498: Bacteroidia; Bacteroides
ASV_00499	ASV_00499: Nitrososphaeria; Candidatus Nitrosopumilus
ASV_00500	ASV_00500: Verrucomicrobiae; Coraliomargarita
ASV_00501	ASV_00501: Proteobacteria; Alphaproteobacteria
ASV_00503	ASV_00503: Gammaproteobacteria; Vibrio
ASV_00506	ASV_00506: Clostridia; [Eubacterium] nodatum group
ASV_00507	ASV_00507: Dadabacteria; Dadabacteriales
ASV_00508	ASV_00508: Clostridia; Lachnospiraceae
ASV_00510	ASV_00510: Alphaproteobacteria; OCS116 clade
ASV_00511	ASV_00511: Alphaproteobacteria; SAR116 clade
ASV_00512	ASV_00512: Bacteroidia; Crocinitomix
