asv_id	NMDS1	NMDS2	taxonomy	Domain	Phylum	Class	Order	Family	Genus	color	abund_0.01_316	sda_asvs_181	sda_abund_asvs_36
ASV_00028	-0.5705371518767621	0.32519608278484324	ASV_00028: Gammaproteobacteria; Stenotrophomonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	#FF9B64	26	NA	NA
ASV_00029	0.5324967749682147	0.0253126546496849	ASV_00029: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	29	27	34
ASV_00030	-0.03921559303773531	0.14488801967870588	ASV_00030: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	32	28	25
ASV_00031	0.5343171746039881	0.04432267381865164	ASV_00031: Bacteria; Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	#D27878	31	29	35
ASV_00032	-0.4647888326249609	0.06422352215559524	ASV_00032: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	30	30	26
ASV_00034	0.00178271017314837	0.12381954988672528	ASV_00034: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	34	31	27
ASV_00035	0.6452351214067279	0.01070117868942954	ASV_00035: Alphaproteobacteria; SAR11 Clade Ib	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	#FFDCAD	33	32	36
ASV_00036	-0.16811550405939468	0.05147351456495618	ASV_00036: Bacteroidia; NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	#FFB97C	37	33	NA
ASV_00037	0.5020695116855968	0.00104814187468356	ASV_00037: Alphaproteobacteria; SAR11 Clade II	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	#FFDCAD	36	34	NA
ASV_00038	-0.7128587926871055	0.0973502551929596	ASV_00038: Bacteroidia; Formosa	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	#FFB97C	35	35	28
ASV_00039	0.4378330714325988	0.02296971188504395	ASV_00039: Alphaproteobacteria; Rhodobacteraceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	#FF9660	42	36	NA
ASV_00040	0.05068968604735337	0.08757067328556481	ASV_00040: Gammaproteobacteria; OM60(NOR5) clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	#FF945E	40	37	NA
ASV_00041	0.41738389066877535	0.01989210334661085	ASV_00041: Gammaproteobacteria; OM60(NOR5) clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	#FF945E	39	38	NA
ASV_00043	-0.2699875574409951	0.05218839895792768	ASV_00043: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	38	39	29
ASV_00044	0.4637330179136807	-0.00807580218247803	ASV_00044: Gammaproteobacteria; OM60(NOR5) clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	#FF945E	45	NA	NA
ASV_00045	-0.7139111094539224	0.10177017834036392	ASV_00045: Bacteroidia; NS7 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group	#FFB97C	43	40	30
ASV_00046	0.62066179139249	0.03628532847204193	ASV_00046: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	46	41	NA
ASV_00047	-0.8051076507951762	0.10214019723687189	ASV_00047: Bacteroidia; NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	#FFB97C	44	42	31
ASV_00048	-0.4750873107652081	0.07423198803874462	ASV_00048: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	50	43	NA
ASV_00049	0.5876606146046894	0.04680092015969089	ASV_00049: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	47	44	NA
ASV_00050	0.4895449969662834	0.08582866518256628	ASV_00050: Alphaproteobacteria; Rhodobacteraceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	#FF9660	48	45	NA
ASV_00051	0.26809630380144933	0.4673475720135704	ASV_00051: Gammaproteobacteria; Pseudomonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF945E	41	NA	NA
ASV_00052	0.41727093782407454	-0.02451560364436942	ASV_00052: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	52	46	NA
ASV_00053	0.36108572857553767	0.04690680825903735	ASV_00053: Phycisphaerae; Urania-1B-19 marine sediment group	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	#FF2616	55	47	NA
ASV_00054	0.38724574292131936	0.08511992837575486	ASV_00054: Gammaproteobacteria; Alteromonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	#FF9861	56	NA	NA
ASV_00055	0.623359904588593	0.02575782544078484	ASV_00055: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	53	48	NA
ASV_00057	0.4985304026787887	-0.06157819737218759	ASV_00057: Thermoplasmata; Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	#0CD497	54	49	NA
ASV_00058	-0.355914492515056	0.15795160743094702	ASV_00058: Acidimicrobia; Sva0996 marine group	Bacteria	Actinobacteriota	Acidimicrobia	Microtrichales	Microtrichaceae	Sva0996 marine group	#0BBAFF	57	50	NA
ASV_00059	-0.08478573898752699	0.02706973150005675	ASV_00059: Alphaproteobacteria; Ascidiaceihabitans	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	#FF9660	60	51	NA
ASV_00060	-1.881474110060313	0.02696001200761707	ASV_00060: Alphaproteobacteria; Litorimicrobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium	#FF9660	51	52	NA
ASV_00061	0.3465156172151802	0.24401223725774687	ASV_00061: Gammaproteobacteria; Pseudomonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF945E	49	NA	NA
ASV_00063	0.5148659748020069	0.00973649772442159	ASV_00063: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	59	53	NA
ASV_00064	0.02607138874730735	0.00746671825590302	ASV_00064: Alphaproteobacteria; Stappiaceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae	#FF8450	58	54	NA
ASV_00065	0.20409014468846728	-0.13017742459805728	ASV_00065: Gammaproteobacteria; OM60(NOR5) clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	#FF945E	62	NA	NA
ASV_00066	-0.1337664952549063	0.15091956261099063	ASV_00066: Cyanobacteria; Cyanobium PCC-6307	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	#C1FEB3	72	55	NA
ASV_00067	0.6241270312819388	-6.985071809635129e-4	ASV_00067: Alphaproteobacteria; SAR11 Clade Ia	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	#FFDCAD	64	56	NA
ASV_00068	0.5590132882326029	-0.00318257602846869	ASV_00068: Alphaproteobacteria; SAR11 Clade Ia	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	#FFDCAD	67	57	NA
ASV_00069	-0.84254187163677	-0.07174858922958514	ASV_00069: Bacteroidia; Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	#FFB97C	61	58	NA
ASV_00070	0.6112587793397881	0.06840218315588024	ASV_00070: Bacteria; Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	#D27878	65	59	NA
ASV_00071	-0.14153829714968566	0.0200195104357469	ASV_00071: Bacteroidia; NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	#FFB97C	70	60	NA
ASV_00072	0.6302773829394612	0.0516282877203887	ASV_00072: Alphaproteobacteria; SAR11 Clade IV	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade IV	Clade IV	#FFDCAD	66	61	NA
ASV_00073	-0.9135020997420804	0.10178590209963675	ASV_00073: Bacteroidia; NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	#FFB97C	63	62	NA
ASV_00074	-0.1480901981216126	0.01729446499073837	ASV_00074: Bacteroidia; Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	#FFB97C	76	63	NA
ASV_00075	0.05849493112322426	0.07183252718190831	ASV_00075: Bacteroidia; NS2b marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	#FFB97C	80	64	NA
ASV_00077	0.6372991705417956	-0.00818637706965071	ASV_00077: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	75	65	NA
ASV_00079	0.4217913000796257	-0.00320592172817414	ASV_00079: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	71	66	NA
ASV_00080	0.35724490734130426	0.0350188530424732	ASV_00080: Rhodothermia; Balneola	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	#FFB879	69	NA	NA
ASV_00082	0.6768528065327323	0.00682021118019505	ASV_00082: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	90	NA	NA
ASV_00083	0.6082159979934023	0.04223549961055736	ASV_00083: Alphaproteobacteria; SAR11 Clade Ib	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	#FFDCAD	77	67	NA
ASV_00084	-0.01673391478476696	0.14213994444023112	ASV_00084: Bacteroidia; Marinoscillum	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	#FFDAB4	84	68	NA
ASV_00085	0.670615238808195	0.00829010798844642	ASV_00085: Alphaproteobacteria; SAR11 Clade Ib	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	#FFDCAD	79	69	NA
ASV_00086	0.5168375447427457	-0.08038864355502719	ASV_00086: Thermoplasmata; Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	#0CD497	81	70	NA
ASV_00087	-0.15834963862884455	-0.00140552424325395	ASV_00087: Alphaproteobacteria; Stappiaceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae	#FF8450	83	71	NA
ASV_00088	0.4950684556831286	-0.08756434942913144	ASV_00088: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	91	72	NA
ASV_00089	-1.796157572978649	-0.02823033798958842	ASV_00089: Bacteroidia; Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	#FFB97C	73	NA	NA
ASV_00091	0.7335740855650275	-0.03018031141397754	ASV_00091: Cyanobacteria; Prochlorococcus MIT9313	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	#C1FEB3	88	NA	NA
ASV_00092	0.1478187268811323	-0.05344524580299802	ASV_00092: Gammaproteobacteria; Acinetobacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	#FF945E	68	NA	NA
ASV_00093	0.4683566339037725	0.0748313105270052	ASV_00093: Alphaproteobacteria; Defluviicoccales	Bacteria	Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Defluviicoccales	Defluviicoccales	#FFF3E3	86	73	NA
ASV_00094	-0.10378713184952816	0.10674102958303668	ASV_00094: Cyanobacteria; Cyanobiaceae	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Cyanobiaceae	#C1FEB3	95	74	NA
ASV_00095	-1.4852240351741135	0.02364229809360281	ASV_00095: Bacteroidia; Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	#FFB97C	74	75	NA
ASV_00096	0.48920281293220746	0.02470581240353438	ASV_00096: Gammaproteobacteria; KI89A clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade	#FF945E	89	76	NA
ASV_00097	-0.6203086311848358	0.13050550962299834	ASV_00097: Bacteroidia; Tenacibaculum	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	#FFB97C	101	77	NA
ASV_00098	0.6507222979939746	0.04117651600210979	ASV_00098: Thermoplasmata; Marine Group II	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II	Marine Group II	Marine Group II	#0CD497	100	78	NA
ASV_00099	0.2787065729776672	0.11647402276806192	ASV_00099: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	96	NA	NA
ASV_00100	0.619973862917466	0.03643752850531838	ASV_00100: Acidimicrobia; Candidatus Actinomarina	Bacteria	Actinobacteriota	Acidimicrobia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	#14C1FF	97	79	NA
ASV_00101	-0.6161025922152947	0.04304589355826045	ASV_00101: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	85	80	NA
ASV_00102	0.6076203661999144	-0.03326181425231946	ASV_00102: Alphaproteobacteria; SAR11 Clade Ia	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	#FFDCAD	94	NA	NA
ASV_00103	0.4374168098799247	0.00901242387308342	ASV_00103: Alphaproteobacteria; PS1 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	PS1 clade	#FFDAAA	92	81	NA
ASV_00104	-0.06164746728722749	0.05921900208107006	ASV_00104: Bacteroidia; NS9 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group	#FFB97C	103	82	NA
ASV_00105	-1.6221128420904762	-0.24886126435088407	ASV_00105: Gammaproteobacteria; Marinobacterium	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	#FF945E	93	83	NA
ASV_00107	-0.05608085069297273	0.06555182936245017	ASV_00107: Bacteroidia; NS5 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	#FFB97C	87	84	NA
ASV_00108	0.1374682515254929	0.30240844904275693	ASV_00108: Gammaproteobacteria; Pseudomonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	#FF945E	82	NA	NA
ASV_00109	0.565619881865631	0.05020478592269214	ASV_00109: Bacteroidia; NS4 marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	#FFB97C	105	85	NA
ASV_00110	0.6346629102700104	-0.02299866798852686	ASV_00110: Alphaproteobacteria; SAR11 Clade II	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade II	Clade II	#FFDCAD	112	86	NA
ASV_00111	-1.4012458970399495	-0.2730859748162647	ASV_00111: Gammaproteobacteria; Pseudomonadales	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales	#FF945E	99	87	NA
ASV_00112	-1.7694818144305111	0.13580892869105918	ASV_00112: Bacteroidia; Cryomorphaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	#FFB97C	78	88	NA
ASV_00113	0.6533467578731055	-0.01308673403561827	ASV_00113: Alphaproteobacteria; AEGEAN-169 marine group	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group	#FFDEB2	113	89	NA
ASV_00114	0.3423026189040695	0.09998033657333148	ASV_00114: Alphaproteobacteria; Rhodobacteraceae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae	#FF9660	104	NA	NA
ASV_00115	-0.00796035403090969	0.11699700001934216	ASV_00115: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	115	90	NA
ASV_00116	0.4748826496338837	-0.06323422225128893	ASV_00116: Alphaproteobacteria; SAR116 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade	#FF8D57	107	91	NA
ASV_00117	0.25961649475446835	-0.01822926406006526	ASV_00117: Alphaproteobacteria; PS1 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	PS1 clade	#FFDAAA	98	NA	NA
ASV_00118	0.09423340276699622	0.0911424696002556	ASV_00118: Bacteroidia; NS2b marine group	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	#FFB97C	120	92	NA
ASV_00119	0.44347028385738574	0.06316400875679273	ASV_00119: Gammaproteobacteria; SAR92 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	#FF945E	108	93	NA
ASV_00120	0.47331019514464723	0.0074977746366267	ASV_00120: Alphaproteobacteria; PS1 clade	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	PS1 clade	#FFDAAA	111	94	NA
ASV_00121	-0.02690858831378404	0.10499683610030774	ASV_00121: Cyanobacteria; Synechococcus CC9902	Bacteria	Cyanobacteria	Cyanobacteria	Synechococcales	Cyanobiaceae	Synechococcus CC9902	#C1FEB3	119	95	NA
ASV_00122	-0.4153627258191237	0.07628754406372076	ASV_00122: Bacteroidia; Flavobacteriaceae	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	#FFB97C	116	96	NA
ASV_00123	0.698856620912283	0.03225426487344612	ASV_00123: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	109	97	NA
ASV_00124	-0.9331225491451786	-0.02440174840262604	ASV_00124: Bacteroidia; NS11-12 marine group	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine group	#FFE4C8	102	98	NA
ASV_00125	0.5009678996957647	0.05777371897002173	ASV_00125: Alphaproteobacteria; SAR11 Clade III	Bacteria	Pseudomonadota	Alphaproteobacteria	SAR11 clade	Clade III	Clade III	#FFDCAD	117	99	NA
ASV_00126	0.718651716138101	0.00777355327723078	ASV_00126: Gammaproteobacteria; SAR86 clade	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade	#FF945E	114	NA	NA
