setome	set_label	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site	grouping
microbiome	all	Metab_269	0.49750596504972033	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi	all
microbiome	all	Metab_270	0.4960656002308267	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite	all
microbiome	all	Metab_271	0.49969272040248985	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi	all
microbiome	all	Metab_272	0.5186749658468998	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass	all
microbiome	all	Metab_273	0.49276992508834505	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass	all
microbiome	all	Metab_274	0.49177299523289275	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi	all
microbiome	all	Metab_275	0.489592873727262	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite	all
microbiome	all	Metab_276	0.48751118977024493	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi	all
microbiome	all	Metab_277	0.48990669957563593	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite	all
microbiome	all	Metab_278	0.48858259583248814	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite	all
microbiome	all	Metab_279	0.5249260746121851	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass	all
microbiome	all	Metab_281	0.5255956277240273	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass	all
microbiome	all	Metab_282	0.5095197010760517	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass	all
microbiome	all	Metab_283	0.49362950720630233	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite	all
microbiome	all	Metab_284	0.4944425737535347	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi	all
microbiome	all	Metab_285	0.49986014276216684	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi	all
microbiome	all	Metab_286	0.5323528225231766	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass	all
microbiome	all	Metab_287	0.5418458285670459	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass	all
microbiome	all	Metab_289	0.5496859776790342	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass	all
microbiome	all	Metab_290	0.5117883339169047	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite	all
microbiome	all	Metab_292	0.49347920965513153	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi	all
microbiome	all	Metab_295	0.49896763725765403	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi	all
microbiome	all	Metab_303	0.49476982133939057	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi	all
microbiome	all	Metab_306	0.48633114431119984	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi	all
microbiome	all	Metab_308	0.5132598016264668	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi	all
microbiome	all	Metab_309	0.5312248948463909	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass	all
microbiome	all	Metab_311	0.5897386177222755	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite	all
microbiome	all	Metab_312	0.4984887955042707	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite	all
microbiome	all	Metab_313	0.4850503576280903	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi	all
microbiome	all	Metab_314	0.543650150643872	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite	all
microbiome	all	Metab_315	0.4953620841935227	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite	all
microbiome	all	Metab_316	0.49337562798380985	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite	all
microbiome	all	Metab_317	0.49014480702499025	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi	all
microbiome	all	Metab_318	0.5166581783430909	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass	all
microbiome	all	Metab_319	0.5277848195454254	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite	all
microbiome	all	Metab_320	0.5239953062468011	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite	all
microbiome	all	Metab_321	0.5000958501574015	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite	all
microbiome	all	Metab_322	0.510152022557804	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite	all
microbiome	all	Metab_323	0.48743917453736885	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi	all
microbiome	all	Metab_324	0.506425741082263	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass	all
microbiome	all	Metab_325	0.505634664796668	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi	all
microbiome	all	Metab_326	0.5211225447524	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass	all
microbiome	all	Metab_327	0.4892941020695475	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi	all
microbiome	all	Metab_328	0.5174722706744602	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass	all
microbiome	all	Metab_329	0.48468261122480033	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass	all
microbiome	all	Metab_331	0.48947796515606623	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi	all
microbiome	all	Metab_332	0.4871877680802283	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass	all
microbiome	all	Metab_334	0.5236518066838963	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass	all
microbiome	all	Metab_337	0.51188943114152885	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass	all
microbiome	all	Metab_219	0.5525087975837485	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass	all
microbiome	all	Metab_224	0.4933835323005809	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite	all
microbiome	all	Metab_231	0.49556703656754064	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite	all
microbiome	all	Metab_233	0.5395235735441245	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass	all
microbiome	LB_seagrass.daily	Metab_183	0.23360592286550158	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_189	0.24302761974942225	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_237	0.2046865308963643	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_240	0.20455854508425933	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_272	0.20273170344791863	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_273	0.24403320234144316	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_279	0.25917292689595706	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_281	0.2533902566869238	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_282	0.2293983049478219	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_286	0.21707547059518129	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_287	0.22958663840630475	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_289	0.22196715716344834	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_309	0.23692769182789308	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_318	0.20159982776165386	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_324	0.20549398686513945	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_326	0.3436938881962552	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_328	0.20088634018079451	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_329	0.22294616583658555	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_332	0.207594238204289	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_334	0.2405703632942793	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_337	0.19813148238624045	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_219	0.26918879098241094	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass	site
microbiome	LB_seagrass.daily	Metab_233	0.22197882071275604	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass	site
microbiome	Yawzi.daily	Metab_186	0.19861734334637296	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi	site
microbiome	Yawzi.daily	Metab_222	0.27741730769305173	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi	site
microbiome	Yawzi.daily	Metab_225	0.19395887375256823	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi	site
microbiome	Yawzi.daily	Metab_228	0.20970464789021911	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi	site
microbiome	Yawzi.daily	Metab_230	0.20534182799190082	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi	site
microbiome	Yawzi.daily	Metab_239	0.19625430595619958	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi	site
microbiome	Yawzi.daily	Metab_267	0.2092902715978306	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi	site
microbiome	Yawzi.daily	Metab_269	0.20241913887078392	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi	site
microbiome	Yawzi.daily	Metab_271	0.2023053895970271	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi	site
microbiome	Yawzi.daily	Metab_274	0.19431034511962925	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi	site
microbiome	Yawzi.daily	Metab_276	0.19317211498875542	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi	site
microbiome	Yawzi.daily	Metab_284	0.20852331820481362	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi	site
microbiome	Yawzi.daily	Metab_285	0.21038505524661602	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi	site
microbiome	Yawzi.daily	Metab_292	0.2005940335883976	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi	site
microbiome	Yawzi.daily	Metab_295	0.21270901504222967	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi	site
microbiome	Yawzi.daily	Metab_303	0.2071373607182117	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi	site
microbiome	Yawzi.daily	Metab_306	0.19406229086495472	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi	site
microbiome	Yawzi.daily	Metab_308	0.2297766967031542	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi	site
microbiome	Yawzi.daily	Metab_313	0.19493929069834084	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi	site
microbiome	Yawzi.daily	Metab_317	0.19521149144903005	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi	site
microbiome	Yawzi.daily	Metab_323	0.19386031360005343	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi	site
microbiome	Yawzi.daily	Metab_325	0.22872438299226655	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi	site
microbiome	Yawzi.daily	Metab_327	0.19408500503727844	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi	site
microbiome	Yawzi.daily	Metab_331	0.1999614266455384	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi	site
microbiome	Tektite.daily	Metab_227	0.19532954612858072	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite	site
microbiome	Tektite.daily	Metab_234	0.19752543546009887	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite	site
microbiome	Tektite.daily	Metab_236	0.20294225942171523	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite	site
microbiome	Tektite.daily	Metab_241	0.28136457330019016	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite	site
microbiome	Tektite.daily	Metab_261	0.2004472748789232	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite	site
microbiome	Tektite.daily	Metab_264	0.1895460396321834	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite	site
microbiome	Tektite.daily	Metab_266	0.20835191214756782	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite	site
microbiome	Tektite.daily	Metab_270	0.18805189573902556	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite	site
microbiome	Tektite.daily	Metab_275	0.1946471109810788	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite	site
microbiome	Tektite.daily	Metab_277	0.1916571483647808	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite	site
microbiome	Tektite.daily	Metab_278	0.2017353533420898	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite	site
microbiome	Tektite.daily	Metab_283	0.19492908981503257	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite	site
microbiome	Tektite.daily	Metab_290	0.19611731146353775	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite	site
microbiome	Tektite.daily	Metab_311	0.2721356075149562	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite	site
microbiome	Tektite.daily	Metab_312	0.18705349761445547	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite	site
microbiome	Tektite.daily	Metab_314	0.22321253030917815	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite	site
microbiome	Tektite.daily	Metab_315	0.18668338828672226	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite	site
microbiome	Tektite.daily	Metab_316	0.2038141660130735	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite	site
microbiome	Tektite.daily	Metab_319	0.2088285809671593	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite	site
microbiome	Tektite.daily	Metab_320	0.20518773609051985	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite	site
microbiome	Tektite.daily	Metab_321	0.18714899396897705	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite	site
microbiome	Tektite.daily	Metab_322	0.19377525333596093	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite	site
microbiome	Tektite.daily	Metab_224	0.2138403112940463	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite	site
microbiome	Tektite.daily	Metab_231	0.19332169393241644	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite	site
microbiome	LB_seagrass.dawn	Metab_237	0.09631845559774517	CINAR_BC_37	seawater	20210123	dawn	Day2	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_240	0.09914520641013604	CINAR_BC_41	seawater	20210123	dawn	Day2	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_272	0.0962039946507154	CINAR_BC_57	seawater	20210124	dawn	Day3	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_281	0.14288747437200194	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_287	0.1293370350041974	CINAR_BC_54	seawater	20210124	dawn	Day3	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_309	0.11951281219667112	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_318	0.08711818785937611	CINAR_BC_110	seawater	20210126	dawn	Day5	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_324	0.1124654761686585	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_328	0.08138398306450374	CINAR_BC_87	seawater	20210125	dawn	Day4	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_334	0.12493579129694121	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_337	0.0764321191372804	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass	site.time
microbiome	LB_seagrass.dawn	Metab_219	0.1956600941769699	CINAR_BC_81B	seawater	20210123	dawn	Day2	LB_seagrass	site.time
microbiome	Yawzi.dawn	Metab_222	0.20801340470731688	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_225	0.11960873642394079	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_228	0.15414675760219665	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_284	0.15344006102318683	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_292	0.1388753505407691	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_295	0.1350315341709379	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_303	0.12778901678930638	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_306	0.11441520946606247	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_313	0.12236652303853475	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_325	0.15274494147829148	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_327	0.11602984484917318	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi	site.time
microbiome	Yawzi.dawn	Metab_331	0.1369078965092271	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi	site.time
microbiome	Tektite.dawn	Metab_234	0.08753710238021233	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite	site.time
microbiome	Tektite.dawn	Metab_241	0.20832988662441665	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite	site.time
microbiome	Tektite.dawn	Metab_275	0.08421348470395816	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite	site.time
microbiome	Tektite.dawn	Metab_278	0.09393684586588005	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite	site.time
microbiome	Tektite.dawn	Metab_290	0.10205715699511611	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite	site.time
microbiome	Tektite.dawn	Metab_312	0.07983602065669083	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite	site.time
microbiome	Tektite.dawn	Metab_315	0.07919604358924137	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite	site.time
microbiome	Tektite.dawn	Metab_316	0.09913610839304306	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite	site.time
microbiome	Tektite.dawn	Metab_319	0.12461602578409048	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite	site.time
microbiome	Tektite.dawn	Metab_321	0.08116197399191413	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite	site.time
microbiome	Tektite.dawn	Metab_322	0.09731512115413925	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite	site.time
microbiome	Tektite.dawn	Metab_231	0.09099932762827065	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite	site.time
microbiome	LB_seagrass.peak_photo	Metab_183	0.18946891726170584	CINAR_BC_48	seawater	20210123	peak_photo	Day2	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_189	0.20120820716624577	CINAR_BC_52	seawater	20210123	peak_photo	Day2	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_273	0.17873015336044554	CINAR_BC_99	seawater	20210125	peak_photo	Day4	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_279	0.2504979655726444	CINAR_BC_95	seawater	20210125	peak_photo	Day4	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_282	0.20518109290371686	CINAR_BC_100	seawater	20210125	peak_photo	Day4	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_286	0.17530309932622462	CINAR_BC_70	seawater	20210124	peak_photo	Day3	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_289	0.17589646542524318	CINAR_BC_74	seawater	20210124	peak_photo	Day3	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_326	0.27741950578754987	CINAR_BC_117	seawater	20210126	peak_photo	Day5	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_329	0.16621814325699294	CINAR_BC_119	seawater	20210126	peak_photo	Day5	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_332	0.1527080893665338	CINAR_BC_120	seawater	20210126	peak_photo	Day5	LB_seagrass	site.time
microbiome	LB_seagrass.peak_photo	Metab_233	0.16895479968427785	CINAR_BC_49	seawater	20210123	peak_photo	Day2	LB_seagrass	site.time
microbiome	Yawzi.peak_photo	Metab_186	0.08605990245623044	CINAR_BC_47	seawater	20210123	peak_photo	Day2	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_230	0.12163299446447184	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_239	0.0987364930678569	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_267	0.09822600733065831	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_269	0.08787659476524266	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_271	0.0877800659300592	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_274	0.08607945747089271	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_276	0.085893916753815	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_285	0.09643439826942356	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_308	0.11892123795161584	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_317	0.09394529936722747	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi	site.time
microbiome	Yawzi.peak_photo	Metab_323	0.08494232559160123	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi	site.time
microbiome	Tektite.peak_photo	Metab_227	0.15277161243372248	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_236	0.15309679268537196	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_261	0.16205171071400343	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_264	0.13400211566962877	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_266	0.17437772122376474	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_270	0.13409655889102068	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_277	0.14616514422625435	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_283	0.1477664187804828	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_311	0.2349470930404996	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_314	0.17803382679084764	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_320	0.1548149518884729	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite	site.time
microbiome	Tektite.peak_photo	Metab_224	0.18404629290380045	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite	site.time
metabolome	all	Metab_337	0.359223394854868	CINAR_BC_85	seawater	20210125	dawn	Day4	LB_seagrass	all
metabolome	all	Metab_328	0.36964137689509413	CINAR_BC_88	seawater	20210125	dawn	Day4	LB_seagrass	all
metabolome	all	Metab_324	0.34715143582882463	CINAR_BC_103	seawater	20210126	dawn	Day5	LB_seagrass	all
metabolome	all	Metab_281	0.3209986063936347	CINAR_BC_63	seawater	20210124	dawn	Day3	LB_seagrass	all
metabolome	all	Metab_334	0.3482931842334713	CINAR_BC_83	seawater	20210125	dawn	Day4	LB_seagrass	all
metabolome	all	Metab_309	0.3529453138234942	CINAR_BC_109	seawater	20210126	dawn	Day5	LB_seagrass	all
