Label,Id,omics_type,taxonomy
ASV_00082,92,ASV,ASV_00082: Gammaproteobacteria; SAR86 clade
ASV_00123,93,ASV,ASV_00123: Gammaproteobacteria; SAR86 clade
ASV_00126,94,ASV,ASV_00126: Gammaproteobacteria; SAR86 clade
ASV_00180,95,ASV,ASV_00180: Gammaproteobacteria; SAR86 clade
ASV_00280,96,ASV,ASV_00280: Gammaproteobacteria; SAR86 clade
ASV_00028,97,ASV,ASV_00028: Gammaproteobacteria; Stenotrophomonas
ASV_00642,98,ASV,ASV_00642: Proteobacteria; Gammaproteobacteria
ASV_00209,99,ASV,ASV_00209: Kiritimatiellae; R76-B128
ASV_00018,100,ASV,ASV_00018: Verrucomicrobiae; Coraliomargarita
ASV_00463,101,ASV,ASV_00463: Verrucomicrobiae; Coraliomargarita
ASV_00531,102,ASV,ASV_00531: Verrucomicrobiae; SCGC AAA164-E04
isethionate,103,metabolite,isethionate
histidine,104,metabolite,histidine
malic acid,105,metabolite,malic acid
GABA,106,metabolite,GABA
glycine,107,metabolite,glycine
kynurenine,108,metabolite,kynurenine
tryptophan,109,metabolite,tryptophan
aspartate,110,metabolite,aspartate
proline,111,metabolite,proline
alanine,112,metabolite,alanine
lysine 2,113,metabolite,lysine 2
phenylalanine,114,metabolite,phenylalanine
citrulline,115,metabolite,citrulline
ornithine 2,116,metabolite,ornithine 2
serine,117,metabolite,serine
threonine,118,metabolite,threonine
valine,119,metabolite,valine
isoleucine,120,metabolite,isoleucine
leucine,121,metabolite,leucine
glutathione 2,122,metabolite,glutathione 2
sarcosine,123,metabolite,sarcosine
putrescine 2,124,metabolite,putrescine 2
uridine,125,metabolite,uridine
cysteine 2,126,metabolite,cysteine 2
guanosine,127,metabolite,guanosine
taurine,128,metabolite,taurine
glutamine,129,metabolite,glutamine
glutamic acid,130,metabolite,glutamic acid
arginine,131,metabolite,arginine
5'UMP,132,metabolite,5'UMP
sn-glycerol 3-phosphate,133,metabolite,sn-glycerol 3-phosphate
ciliatine,134,metabolite,ciliatine
asparagine,135,metabolite,asparagine
pantothenic acid,136,metabolite,pantothenic acid
3'AMP,137,metabolite,3'AMP
