contrast	hold	variable	asv_id	p_val	p_fdr	test	q_cutoff	p_adj	taxon_resolution
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00006	5.299464581702883e-13	9.084796425776372e-12	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00006	2.446881458461343e-5	0.0010486634821977184	cc_dv	1.2079700037537759e-4	2.446881458461343e-5	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00007	1.3922109993660454e-4	0.00830264014167387	cc_da	0.003989567137017027	1.3922109993660454e-4	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00007	0.13502515471986481	0.7908616205020653	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00007	1.24305522304046e-31	9.32291417280345e-30	cc_da	1.1211470090943884e-14	1.24305522304046e-31	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00007	0.009975122793374846	0.19754267555801677	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00007	1.650866190982045e-21	5.826586556407218e-20	cc_da	1.1513536282126479e-14	1.650866190982045e-21	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00007	0.25946519403052914	0.9322102779539969	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00008	0.2622794606462531	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00008	0.98593018929911	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00008	3.2841816801977873e-13	5.9455013175994425e-12	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00008	0.8907367703578976	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00008	3.4603594363115506e-10	4.237174819973327e-9	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00008	0.8766751694673154	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00009	2.9988184926135704e-7	6.557416437181674e-5	cc_da	0.003989567137017027	2.9988184926135704e-7	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00009	0.3190515337904037	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00009	3.6919741377597775e-64	1.9382864223238833e-61	cc_da	1.1211470090943884e-14	3.6919741377597775e-64	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00009	3.6760213792843286e-4	0.027570160344632465	cc_dv	0.003811169536309327	3.6760213792843286e-4	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00009	5.5474078275287765e-33	8.321111741293165e-31	cc_da	1.1513536282126479e-14	5.5474078275287765e-33	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00009	0.009807992448383537	0.07698148518972825	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00010	7.007125603050176e-4	0.030125340847064846	cc_da	0.003989567137017027	7.007125603050176e-4	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00010	0.28293904137971576	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00010	2.482991790566009e-36	3.2589267251178867e-34	cc_da	1.1211470090943884e-14	2.482991790566009e-36	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00010	0.6183909634251357	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00010	1.5404146724113394e-27	1.3203554334954336e-25	cc_da	1.1513536282126479e-14	1.5404146724113394e-27	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00010	0.5712749799722223	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00011	0.24110009931858434	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00011	0.6440774059008707	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00011	1.3727634094688758e-15	3.0029199582131655e-14	cc_da	1.1211470090943884e-14	1.3727634094688758e-15	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00011	0.6995067825282467	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00011	1.3206062637609979e-11	1.8865803768014256e-10	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00011	0.9413626296651931	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00012	0.00973807901898159	0.2311122481460311	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00012	0.10743854750658095	0.673030256463386	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00012	1.023203052158817e-30	6.714770029792237e-29	cc_da	1.1211470090943884e-14	1.023203052158817e-30	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00012	0.03649887293847053	0.3757236920136673	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00012	1.162599766416649e-25	6.975598598499894e-24	cc_da	1.1513536282126479e-14	1.162599766416649e-25	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00012	0.6229796065648805	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00013	0.44175893076511363	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00013	0.0072276869795914085	0.08945967280399933	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00013	6.029559939677092e-11	8.793108245362426e-10	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00013	0.5289947442691665	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00013	1.1301194573244655e-14	2.5113765718321456e-13	cc_da	1.1513536282126479e-14	1.1301194573244655e-14	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00013	9.595195072547368e-4	0.014392792608821052	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00014	0.3918057840708954	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00014	0.4566875416468687	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00014	0.012030771367833554	0.04934496068837981	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00014	0.056408044284809354	0.4958446333273963	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00014	0.0016002174386264023	0.009413043756625897	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00014	0.007629576891945203	0.06634414688648002	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00015	0.20560903562495164	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00015	0.10772587946441392	0.673030256463386	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00015	7.755713137936888e-7	7.020257581753217e-6	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00015	0.05252378622862326	0.4958446333273963	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00015	6.916338431425703e-8	6.69323074008939e-7	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00015	0.7309973790265993	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00016	0.3387723424460198	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00016	1.5404521100148306e-4	0.004819750141526284	cc_dv	1.825135001626081e-4	1.5404521100148306e-4	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00016	7.458605511292057e-11	1.0583156468725217e-9	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00016	0.6933466600091731	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00016	3.4750220148982408e-12	5.486876865628801e-11	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00016	7.31001864185402e-4	0.012183364403090034	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00017	0.5286222795000326	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00017	0.10918310947745555	0.6756992435585929	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00017	2.5333653081585445e-13	4.750059952797271e-12	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00017	0.4249130138218363	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00017	2.2036423195062352e-13	4.131829349074191e-12	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00017	0.01769730593132062	0.12205038573324566	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00018	0.4767802036478919	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00018	0.30283988645492654	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00018	4.077797493588456e-9	4.865553827577135e-8	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00018	0.7923630756295437	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00018	1.2326384034705273e-8	1.2975141089163446e-7	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00018	0.20008285057018374	0.7950311943186109	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00019	0.060762401175435084	0.7381506513163966	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00019	0.7674086299978699	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00019	9.295787679066191e-4	0.005246422889454576	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00019	0.0015374058381747218	0.0807138065041729	cc_dv	0.003811169536309327	0.0015374058381747218	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00019	0.027379864251726248	0.11175454796622959	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00019	4.997075078292458e-4	0.009918900586516831	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00020	0.16788551881229938	0.9976145597850512	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00020	0.3045505338227254	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00020	2.802221293642512e-29	1.6346290879581322e-27	cc_da	1.1211470090943884e-14	2.802221293642512e-29	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00020	0.9829971966449503	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00020	1.5480147548949863e-19	4.888467647036799e-18	cc_da	1.1513536282126479e-14	1.5480147548949863e-19	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00020	0.31647833291161187	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00021	0.02879326157344567	0.47220948980450894	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00021	0.23424967236747998	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00021	1.5099799058244078e-6	1.321232417596357e-5	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00021	0.0268559374012757	0.3025140291004517	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00021	1.6700740420869269e-9	1.9270085101003002e-8	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00021	6.985175304631515e-4	0.011974586236511169	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00022	0.07620049716232774	0.7493730053263351	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00022	0.8302783817707585	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00022	1.5791692333433179e-6	1.359121061484003e-5	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00022	0.055748828709720505	0.4958446333273963	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00022	4.3196310064943643e-4	0.00284810835593035	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00022	0.03099813355086005	0.19577768558437927	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00023	8.920581188173922e-4	0.032004000255538914	cc_da	0.003989567137017027	8.920581188173922e-4	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00023	0.07717051484913039	0.5218954406291705	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00023	1.41862643197292e-32	1.489557753571566e-30	cc_da	1.1211470090943884e-14	1.41862643197292e-32	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00023	0.3458256946921199	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00023	8.050756858194745e-26	5.367171238796497e-24	cc_da	1.1513536282126479e-14	8.050756858194745e-26	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00023	0.4205760677270606	0.9993841327412634	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00024	7.347644109040206e-4	0.030125340847064846	cc_da	0.003989567137017027	7.347644109040206e-4	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00024	1.1103085448307547e-6	1.8209060135224378e-4	cc_dv	1.825135001626081e-4	1.1103085448307547e-6	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00024	1.7791354335688523e-10	2.4580160595359144e-9	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00024	0.45428485118150824	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00024	7.563086149779045e-13	1.2264464026668723e-11	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00024	2.442599701316505e-10	3.663899551974758e-8	cc_dv	1.2079700037537759e-4	2.442599701316505e-10	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00025	0.014556493505918863	0.3080341851575088	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00025	0.9709405026735392	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00025	1.2033630439259056e-17	2.746806948091741e-16	cc_da	1.1211470090943884e-14	1.2033630439259056e-17	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00025	0.12936973163869478	0.8382628750572008	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00025	5.2845793676043126e-11	7.046105823472417e-10	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00025	0.1320221244343229	0.6237265721306593	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00026	0.0030975053236057927	0.09676016629930476	cc_da	0.003989567137017027	0.0030975053236057927	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00026	0.6443179979913057	0.9998300621891226	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00026	9.973355124507732e-5	7.374664000516281e-4	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00026	0.01588928108708901	0.21952296238741398	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00026	8.494698628343167e-4	0.005148302198995859	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00026	0.006511379022939575	0.05831085692184693	cc_dv	1.2079700037537759e-4	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00027	0.004707822951067008	0.12353327423599827	cc_da	0.003989567137017027	NA	asv
dawn (Tektite - Yawzi)	dawn	Tektite - Yawzi	ASV_00027	0.014320089798533435	0.15399965422685136	cc_dv	1.825135001626081e-4	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00027	7.703289703422727e-9	8.987171320659847e-8	cc_da	1.1211470090943884e-14	NA	asv
dawn (Tektite - LB_seagrass)	dawn	Tektite - LB_seagrass	ASV_00027	0.5782647623244284	0.9988579185548043	cc_dv	0.003811169536309327	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00027	3.525672396373809e-6	2.9318752438150143e-5	cc_da	1.1513536282126479e-14	NA	asv
dawn (Yawzi - LB_seagrass)	dawn	Yawzi - LB_seagrass	ASV_00027	0.0025530826548195336	0.028367585053550373	cc_dv	1.2079700037537759e-4	NA	asv
