Label,Id,omics_type,taxonomy
ASV_02621,1,ASV,ASV_02621: Nanoarchaeia; Woesearchaeales
ASV_00037,154,ASV,ASV_00037: Alphaproteobacteria; SAR11 Clade II
ASV_00330,155,ASV,ASV_00330: Alphaproteobacteria; SAR11 Clade II
ASV_00356,156,ASV,ASV_00356: Alphaproteobacteria; SAR11 Clade III
ASV_00851,157,ASV,ASV_00851: Alphaproteobacteria; Sphingomonadaceae
ASV_00256,158,ASV,ASV_00256: Gammaproteobacteria; Aquabacterium
ASV_00231,159,ASV,ASV_00231: Gammaproteobacteria; Delftia
ASV_00307,160,ASV,ASV_00307: Gammaproteobacteria; OM43 clade
ASV_01354,161,ASV,ASV_01354: Gammaproteobacteria; Sedimenticola
ASV_00735,162,ASV,ASV_00735: Gammaproteobacteria; Coxiella
ASV_01031,163,ASV,ASV_01031: Gammaproteobacteria; Coxiella
ASV_00129,164,ASV,ASV_00129: Gammaproteobacteria; Ectothiorhodospiraceae
ASV_00339,165,ASV,ASV_00339: Gammaproteobacteria; Aestuariibacter
ASV_00054,166,ASV,ASV_00054: Gammaproteobacteria; Alteromonas
ASV_00251,167,ASV,ASV_00251: Gammaproteobacteria; Alteromonadaceae
ASV_00177,168,ASV,ASV_00177: Gammaproteobacteria; Pseudoalteromonas
ASV_00227,169,ASV,ASV_00227: Gammaproteobacteria; Photobacterium
ASV_00283,170,ASV,ASV_00283: Gammaproteobacteria; Photobacterium
ASV_00355,171,ASV,ASV_00355: Gammaproteobacteria; Vibrionaceae
ASV_01180,172,ASV,ASV_01180: Gammaproteobacteria; Francisellaceae
ASV_01074,173,ASV,ASV_01074: Gammaproteobacteria; Milano-WF1B-44
ASV_00626,174,ASV,ASV_00626: Gammaproteobacteria; Methylophaga
ASV_00374,175,ASV,ASV_00374: Gammaproteobacteria; Alcanivorax
ASV_00634,176,ASV,ASV_00634: Gammaproteobacteria; Cellvibrionaceae
ASV_00884,177,ASV,ASV_00884: Gammaproteobacteria; Endozoicomonas
ASV_00040,178,ASV,ASV_00040: Gammaproteobacteria; OM60(NOR5) clade
ASV_00041,179,ASV,ASV_00041: Gammaproteobacteria; OM60(NOR5) clade
ASV_00308,180,ASV,ASV_00308: Gammaproteobacteria; OM60(NOR5) clade
ASV_00882,181,ASV,ASV_00882: Gammaproteobacteria; Halieaceae
ASV_00096,182,ASV,ASV_00096: Gammaproteobacteria; KI89A clade
ASV_00168,183,ASV,ASV_00168: Gammaproteobacteria; Litoricola
ASV_00092,184,ASV,ASV_00092: Gammaproteobacteria; Acinetobacter
ASV_00762,185,ASV,ASV_00762: Gammaproteobacteria; Psychrobacter
ASV_00105,186,ASV,ASV_00105: Gammaproteobacteria; Marinobacterium
ASV_00119,187,ASV,ASV_00119: Gammaproteobacteria; SAR92 clade
ASV_00051,188,ASV,ASV_00051: Gammaproteobacteria; Pseudomonas
ASV_00061,189,ASV,ASV_00061: Gammaproteobacteria; Pseudomonas
ASV_00248,190,ASV,ASV_00248: Gammaproteobacteria; Pseudomonas
ASV_00373,191,ASV,ASV_00373: Gammaproteobacteria; Pseudomonas
ASV_00008,192,ASV,ASV_00008: Gammaproteobacteria; SAR86 clade
ASV_00011,193,ASV,ASV_00011: Gammaproteobacteria; SAR86 clade
ASV_00020,194,ASV,ASV_00020: Gammaproteobacteria; SAR86 clade
ASV_00046,195,ASV,ASV_00046: Gammaproteobacteria; SAR86 clade
ASV_00055,196,ASV,ASV_00055: Gammaproteobacteria; SAR86 clade
ASV_00063,197,ASV,ASV_00063: Gammaproteobacteria; SAR86 clade
ASV_00216,198,ASV,ASV_00216: Gammaproteobacteria; SAR86 clade
ASV_00138,199,ASV,ASV_00138: Gammaproteobacteria; BD1-7 clade
ASV_00111,200,ASV,ASV_00111: Gammaproteobacteria; Pseudomonadales
ASV_01891,201,ASV,ASV_01891: Gammaproteobacteria; Pseudomonadales
ASV_00400,202,ASV,ASV_00400: Gammaproteobacteria; Thiomicrorhabdus
ASV_00444,203,ASV,ASV_00444: Gammaproteobacteria; Thiomicrorhabdus
ASV_02430,204,ASV,ASV_02430: Gammaproteobacteria; Thiothrix
ASV_02764,205,ASV,ASV_02764: Gammaproteobacteria; Thiotrichaceae
ASV_00028,206,ASV,ASV_00028: Gammaproteobacteria; Stenotrophomonas
ASV_00713,207,ASV,ASV_00713: Proteobacteria; Gammaproteobacteria
ASV_00759,208,ASV,ASV_00759: Proteobacteria; Gammaproteobacteria
ASV_02478,209,ASV,ASV_02478: Proteobacteria; Gammaproteobacteria
ASV_00209,210,ASV,ASV_00209: Kiritimatiellae; R76-B128
ASV_01564,211,ASV,ASV_01564: Kiritimatiellae; WCHB1-41
ASV_01820,212,ASV,ASV_01820: Kiritimatiellae; WCHB1-41
ASV_02052,213,ASV,ASV_02052: Kiritimatiellae; WCHB1-41
ASV_02893,214,ASV,ASV_02893: Verrucomicrobiae; Methylacidiphilaceae
ASV_00845,215,ASV,ASV_00845: Verrucomicrobiae; Coraliomargarita
ASV_00150,216,ASV,ASV_00150: Verrucomicrobiae; MB11C04 marine group
ASV_00328,217,ASV,ASV_00328: Verrucomicrobiae; MB11C04 marine group
ASV_00484,218,ASV,ASV_00484: Verrucomicrobiae; Rubritalea
ASV_01822,219,ASV,ASV_01822: Bacteria; WPS-2
arginine,220,metabolite,arginine
spermidine 3,221,metabolite,spermidine 3
3'AMP,222,metabolite,3'AMP
asparagine,223,metabolite,asparagine
glycine,224,metabolite,glycine
proline,225,metabolite,proline
alanine,226,metabolite,alanine
lysine 2,227,metabolite,lysine 2
citrulline,228,metabolite,citrulline
threonine,229,metabolite,threonine
valine,230,metabolite,valine
leucine,231,metabolite,leucine
5'UMP,232,metabolite,5'UMP
sn-glycerol 3-phosphate,233,metabolite,sn-glycerol 3-phosphate
pantothenic acid,234,metabolite,pantothenic acid
glutathione 2,235,metabolite,glutathione 2
isethionate,236,metabolite,isethionate
sarcosine,237,metabolite,sarcosine
homoserine betaine,238,metabolite,homoserine betaine
GABA,239,metabolite,GABA
putrescine 2,240,metabolite,putrescine 2
tryptophan,241,metabolite,tryptophan
kynurenine,242,metabolite,kynurenine
uridine,243,metabolite,uridine
DHPS,244,metabolite,DHPS
glutamine,245,metabolite,glutamine
ciliatine,246,metabolite,ciliatine
tryptamine,247,metabolite,tryptamine
malic acid,248,metabolite,malic acid
cysteate,249,metabolite,cysteate
aspartate,250,metabolite,aspartate
phenylalanine,251,metabolite,phenylalanine
ornithine 2,252,metabolite,ornithine 2
serine,253,metabolite,serine
isoleucine,254,metabolite,isoleucine
taurine,255,metabolite,taurine
guanosine,256,metabolite,guanosine
cysteine 2,257,metabolite,cysteine 2
glutamic acid,258,metabolite,glutamic acid
histidine,259,metabolite,histidine
